"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","DEPTH","TYPE","CHLA","R","L","FLAG"
"ANNABESSACOO",9961.00,1.00,1979-6-20 0:00:00,"CW",3.00,10.00,"C",4.50,,,
"ANNABESSACOO",9961.00,1.00,1979-6-27 0:00:00,"CW",3.00,7.00,"C",5.30,,,
"ANNABESSACOO",9961.00,1.00,1979-7-3 0:00:00,"CW",3.00,7.00,"C",4.50,,,
"ANNABESSACOO",9961.00,1.00,1979-7-12 0:00:00,"CW",3.00,7.00,"C",4.80,,,
"ANNABESSACOO",9961.00,1.00,1979-7-17 0:00:00,"CW",3.00,7.00,"C",5.30,,,
"ANNABESSACOO",9961.00,1.00,1979-7-20 0:00:00,"CW",3.00,6.00,"C",7.50,,,
"ANNABESSACOO",9961.00,1.00,1979-7-25 0:00:00,"CW",3.00,1.00,"G",12.60,,,
"ANNABESSACOO",9961.00,1.00,1979-7-25 0:00:00,"CW",3.00,2.00,"G",10.10,,,
"ANNABESSACOO",9961.00,1.00,1979-7-25 0:00:00,"CW",3.00,3.00,"G",9.60,,,
"ANNABESSACOO",9961.00,1.00,1979-7-25 0:00:00,"CW",3.00,4.00,"G",8.60,,,
"ANNABESSACOO",9961.00,1.00,1979-7-25 0:00:00,"CW",3.00,5.00,"G",7.50,,,
"ANNABESSACOO",9961.00,1.00,1979-7-25 0:00:00,"CW",3.00,6.00,"G",98.90,,,
"ANNABESSACOO",9961.00,1.00,1979-8-2 0:00:00,"CW",3.00,6.00,"C",10.30,,,
"ANNABESSACOO",9961.00,1.00,1979-8-9 0:00:00,"CW",3.00,5.00,"C",13.00,,,
"ANNABESSACOO",9961.00,1.00,1979-8-14 0:00:00,"CW",3.00,6.00,"C",13.70,,,
"ANNABESSACOO",9961.00,1.00,1979-8-14 0:00:00,"CW",3.00,6.00,"C",14.40,,,
"ANNABESSACOO",9961.00,1.00,1979-8-21 0:00:00,"CW",3.00,6.00,"C",16.80,,,
"ANNABESSACOO",9961.00,1.00,1979-8-24 0:00:00,"CW",3.00,8.00,"C",12.30,,,
"ANNABESSACOO",9961.00,1.00,1979-8-28 0:00:00,"CW",3.00,6.00,"C",11.80,,,
"ANNABESSACOO",9961.00,1.00,1979-8-30 0:00:00,"CW",3.00,6.00,"C",11.50,,,
"ANNABESSACOO",9961.00,1.00,1979-9-5 0:00:00,"CW",3.00,6.00,"C",5.40,,,
"ANNABESSACOO",9961.00,1.00,1979-9-5 0:00:00,"CW",3.00,6.00,"C",5.50,,,
"ANNABESSACOO",9961.00,1.00,1979-9-10 0:00:00,"CW",3.00,7.00,"C",8.80,,,
"ANNABESSACOO",9961.00,1.00,1979-9-12 0:00:00,"CW",3.00,7.00,"C",11.80,,,
"ANNABESSACOO",9961.00,1.00,1979-9-14 0:00:00,"CW",3.00,8.00,"C",10.80,,,
"ANNABESSACOO",9961.00,1.00,1979-9-14 0:00:00,"CW",3.00,8.00,"C",11.30,,,
"ANNABESSACOO",9961.00,1.00,1979-9-20 0:00:00,"CW",3.00,8.00,"C",7.60,,,
"ANNABESSACOO",9961.00,1.00,1979-9-26 0:00:00,"CW",3.00,10.00,"C",7.40,,,
"ANNABESSACOO",9961.00,1.00,1979-10-3 0:00:00,"CW",3.00,10.00,"C",6.90,,,
"ANNABESSACOO",9961.00,1.00,1979-10-16 0:00:00,"CW",3.00,10.00,"C",6.30,,,
"ANNABESSACOO",9961.00,1.00,1979-10-30 0:00:00,"CW",3.00,10.00,"C",8.90,,,
"ANNABESSACOO",9961.00,1.00,1979-10-30 0:00:00,"EI",2.00,10.00,"C",9.10,,,
"ANNABESSACOO",9961.00,1.00,1979-11-15 0:00:00,"CW",3.00,10.00,"C",9.10,,,
"ANNABESSACOO",9961.00,1.00,1980-1-21 0:00:00,"CW",3.00,10.00,"C",3.60,,,
"ANNABESSACOO",9961.00,1.00,1980-1-21 0:00:00,"CW",3.00,10.00,"C",4.90,,,
"ANNABESSACOO",9961.00,1.00,1980-2-20 0:00:00,"CW",3.00,10.00,"C",5.20,,,
"ANNABESSACOO",9961.00,1.00,1980-2-20 0:00:00,"CW",3.00,10.00,"C",5.80,,,
"ANNABESSACOO",9961.00,1.00,1980-3-26 0:00:00,"CW",3.00,10.00,"C",6.10,,,
"ANNABESSACOO",9961.00,1.00,1980-3-26 0:00:00,"CW",3.00,10.00,"C",6.40,,,
"ANNABESSACOO",9961.00,1.00,1980-4-14 0:00:00,"CW",3.00,10.00,"C",8.70,,,
"ANNABESSACOO",9961.00,1.00,1980-4-14 0:00:00,"CW",3.00,10.00,"C",9.30,,,
"ANNABESSACOO",9961.00,1.00,1980-4-22 0:00:00,"CW",3.00,10.00,"C",6.20,,,
"ANNABESSACOO",9961.00,1.00,1980-4-22 0:00:00,"CW",3.00,10.00,"C",6.30,,,
"ANNABESSACOO",9961.00,1.00,1980-5-5 0:00:00,"CW",3.00,10.00,"C",6.00,,,
"ANNABESSACOO",9961.00,1.00,1980-5-15 0:00:00,"CW",3.00,10.00,"C",5.40,,,
"ANNABESSACOO",9961.00,1.00,1980-6-6 0:00:00,"CW",3.00,10.00,"C",4.50,,,
"ANNABESSACOO",9961.00,1.00,1980-6-19 0:00:00,"CW",3.00,10.00,"C",4.20,,,
"ANNABESSACOO",9961.00,1.00,1980-6-19 0:00:00,"CW",3.00,10.00,"C",4.30,,,
"ANNABESSACOO",9961.00,1.00,1980-6-25 0:00:00,"CW",3.00,7.00,"C",4.50,,,
"ANNABESSACOO",9961.00,1.00,1980-7-10 0:00:00,"CW",3.00,8.00,"C",4.20,,,
"ANNABESSACOO",9961.00,1.00,1980-7-16 0:00:00,"CW",3.00,8.00,"C",6.20,,,
"ANNABESSACOO",9961.00,1.00,1980-7-23 0:00:00,"CW",3.00,8.00,"C",8.90,,,
"ANNABESSACOO",9961.00,1.00,1980-7-25 0:00:00,"CW",3.00,7.00,"C",11.80,,,
"ANNABESSACOO",9961.00,1.00,1980-7-29 0:00:00,"CW",3.00,7.00,"C",10.90,,,
"ANNABESSACOO",9961.00,1.00,1980-8-7 0:00:00,"CW",3.00,6.00,"C",10.60,,,
"ANNABESSACOO",9961.00,1.00,1980-8-22 0:00:00,"CW",3.00,7.00,"C",15.90,,,
"ANNABESSACOO",9961.00,1.00,1980-9-3 0:00:00,"CW",3.00,4.00,"C",24.10,,,
"ANNABESSACOO",9961.00,1.00,1980-9-17 0:00:00,"CW",3.00,10.00,"C",12.80,,,
"ANNABESSACOO",9961.00,1.00,1980-9-24 0:00:00,"CW",3.00,10.00,"C",10.10,,,
"ANNABESSACOO",9961.00,1.00,1980-10-8 0:00:00,"CW",3.00,10.00,"C",13.30,,,
"ANNABESSACOO",9961.00,1.00,1980-11-4 0:00:00,"CW",3.00,10.00,"C",6.20,,,
"ANNABESSACOO",9961.00,1.00,1981-3-19 0:00:00,"CW",3.00,10.00,"C",8.20,,,
"ANNABESSACOO",9961.00,1.00,1981-3-19 0:00:00,"CW",3.00,10.00,"C",8.30,,,
"ANNABESSACOO",9961.00,1.00,1981-4-22 0:00:00,"CW",3.00,10.00,"C",7.20,,,
"ANNABESSACOO",9961.00,1.00,1981-5-26 0:00:00,"CW",3.00,10.00,"C",3.50,,,
"ANNABESSACOO",9961.00,1.00,1981-6-19 0:00:00,"CW",3.00,10.00,"C",2.90,,,
"ANNABESSACOO",9961.00,1.00,1981-6-19 0:00:00,"CW",3.00,10.00,"C",3.10,,,
"ANNABESSACOO",9961.00,1.00,1981-7-15 0:00:00,"CW",3.00,5.00,"C",9.30,,,
"ANNABESSACOO",9961.00,1.00,1981-7-15 0:00:00,"CW",3.00,6.00,"C",11.80,,,
"ANNABESSACOO",9961.00,1.00,1981-7-15 0:00:00,"CW",3.00,6.00,"C",12.00,,,
"ANNABESSACOO",9961.00,1.00,1981-8-5 0:00:00,"CW",3.00,5.00,"C",21.00,,,
"ANNABESSACOO",9961.00,1.00,1981-8-5 0:00:00,"CW",3.00,7.00,"C",14.90,,,
"ANNABESSACOO",9961.00,1.00,1981-8-21 0:00:00,"CW",3.00,7.00,"C",16.30,,,
"ANNABESSACOO",9961.00,1.00,1981-8-31 0:00:00,"CW",3.00,8.00,"C",16.50,,,
"ANNABESSACOO",9961.00,1.00,1981-9-17 0:00:00,"CW",3.00,8.00,"C",42.90,,,
"ANNABESSACOO",9961.00,1.00,1981-10-9 0:00:00,"CW",3.00,10.00,"C",24.00,,,
"ANNABESSACOO",9961.00,1.00,1981-10-21 0:00:00,"CW",3.00,10.00,"C",9.90,,,
"ANNABESSACOO",9961.00,1.00,1981-10-21 0:00:00,"CW",3.00,10.00,"C",10.10,,,
"ANNABESSACOO",9961.00,1.00,1981-11-19 0:00:00,"CW",3.00,10.00,"C",6.20,,,
"ANNABESSACOO",9961.00,1.00,1982-3-12 0:00:00,"CW",3.00,6.00,"C",1.30,,,
"ANNABESSACOO",9961.00,1.00,1982-3-12 0:00:00,"CW",3.00,10.00,"C",0.70,,,
"ANNABESSACOO",9961.00,1.00,1982-5-4 0:00:00,"CW",3.00,10.00,"C",2.40,,,
"ANNABESSACOO",9961.00,1.00,1982-5-4 0:00:00,"CW",3.00,10.00,"C",2.70,,,
"ANNABESSACOO",9961.00,1.00,1982-5-13 0:00:00,"CW",3.00,10.00,"C",5.90,,,
"ANNABESSACOO",9961.00,1.00,1982-6-3 0:00:00,"CW",3.00,10.00,"C",5.40,,,
"ANNABESSACOO",9961.00,1.00,1982-7-8 0:00:00,"CW",3.00,8.00,"C",5.10,,,
"ANNABESSACOO",9961.00,1.00,1982-8-2 0:00:00,"CW",3.00,5.00,"C",8.80,,,
"ANNABESSACOO",9961.00,1.00,1982-8-2 0:00:00,"CW",3.00,5.00,"C",8.90,,,
"ANNABESSACOO",9961.00,1.00,1982-8-19 0:00:00,"CW",3.00,6.00,"C",21.00,,,
"ANNABESSACOO",9961.00,1.00,1982-9-9 0:00:00,"CW",3.00,7.00,"C",43.80,,,
"ANNABESSACOO",9961.00,1.00,1982-9-17 0:00:00,"CW",3.00,8.00,"C",12.60,,,
"ANNABESSACOO",9961.00,1.00,1982-9-17 0:00:00,"CW",3.00,8.00,"C",14.60,,,
"ANNABESSACOO",9961.00,1.00,1982-10-13 0:00:00,"CW",3.00,10.00,"C",31.90,,,
"ANNABESSACOO",9961.00,1.00,1982-11-2 0:00:00,"CW",3.00,10.00,"C",11.60,,,
"ANNABESSACOO",9961.00,1.00,1982-11-18 0:00:00,"CW",3.00,10.00,"C",17.60,,,
"ANNABESSACOO",9961.00,1.00,1982-11-18 0:00:00,"CW",3.00,10.00,"C",17.80,,,
"ANNABESSACOO",9961.00,1.00,1983-5-18 0:00:00,"CW",3.00,10.00,"C",6.40,,,
"ANNABESSACOO",9961.00,1.00,1983-6-15 0:00:00,"CW",3.00,6.00,"C",7.00,,,
"ANNABESSACOO",9961.00,1.00,1983-7-7 0:00:00,"CW",3.00,5.00,"C",4.80,,,
"ANNABESSACOO",9961.00,1.00,1983-8-19 0:00:00,"CW",3.00,6.00,"C",8.00,,,
"ANNABESSACOO",9961.00,1.00,1983-9-2 0:00:00,"CW",3.00,6.00,"C",30.90,,,
"ANNABESSACOO",9961.00,1.00,1983-9-20 0:00:00,"CW",3.00,7.00,"C",67.00,,,
"ANNABESSACOO",9961.00,1.00,1983-9-20 0:00:00,"CW",3.00,7.00,"C",70.50,,,
"ANNABESSACOO",9961.00,1.00,1983-10-12 0:00:00,"CW",3.00,10.00,"C",9.80,,,
"ANNABESSACOO",9961.00,1.00,1983-11-8 0:00:00,"CW",3.00,10.00,"C",12.60,,,
"ANNABESSACOO",9961.00,1.00,1984-5-15 0:00:00,"CW",3.00,6.00,"C",5.20,,,
"ANNABESSACOO",9961.00,1.00,1984-5-15 0:00:00,"CW",3.00,10.00,"C",7.30,,,
"ANNABESSACOO",9961.00,1.00,1984-5-15 0:00:00,"CW",3.00,10.00,"C",7.40,,,
"ANNABESSACOO",9961.00,1.00,1984-5-15 0:00:00,"CW",3.00,10.00,"C",8.30,,,
"ANNABESSACOO",9961.00,1.00,1984-8-7 0:00:00,"CW",3.00,5.00,"C",7.10,,,
"ANNABESSACOO",9961.00,1.00,1984-9-5 0:00:00,"CW",3.00,6.00,"C",53.20,,,
"ANNABESSACOO",9961.00,1.00,1984-9-21 0:00:00,"CW",3.00,7.00,"C",33.30,,,
"ANNABESSACOO",9961.00,1.00,1984-10-3 0:00:00,"CW",3.00,10.00,"C",12.60,,,
"ANNABESSACOO",9961.00,1.00,1985-7-2 0:00:00,"CW",3.00,7.00,"C",5.60,,,
"ANNABESSACOO",9961.00,1.00,1985-7-18 0:00:00,"CW",3.00,6.00,"C",6.60,,,
"ANNABESSACOO",9961.00,1.00,1985-8-13 0:00:00,"CW",3.00,5.00,"C",46.40,,,
"ANNABESSACOO",9961.00,1.00,1985-8-13 0:00:00,"CW",3.00,5.00,"C",49.30,,,
"ANNABESSACOO",9961.00,1.00,1985-9-12 0:00:00,"CW",3.00,8.00,"C",19.90,,,
"ANNABESSACOO",9961.00,1.00,1985-10-2 0:00:00,"CW",3.00,7.00,"C",27.70,,,
"ANNABESSACOO",9961.00,1.00,1986-5-27 0:00:00,"CW",3.00,6.00,"C",5.50,,,
"ANNABESSACOO",9961.00,1.00,1986-6-18 0:00:00,"EI",2.00,8.00,"C",3.70,,,
"ANNABESSACOO",9961.00,1.00,1986-7-18 0:00:00,"CW",3.00,7.00,"C",7.10,,,
"ANNABESSACOO",9961.00,1.00,1986-8-27 0:00:00,"CW",3.00,8.00,"C",28.60,,,
"ANNABESSACOO",9961.00,1.00,1986-9-10 0:00:00,"CW",3.00,9.00,"C",38.20,,,
"ANNABESSACOO",9961.00,1.00,1986-10-3 0:00:00,"CW",3.00,10.00,"C",8.80,,,
"ANNABESSACOO",9961.00,1.00,1986-10-3 0:00:00,"CW",3.00,10.00,"C",9.60,,,
"ANNABESSACOO",9961.00,1.00,1987-4-28 0:00:00,"CW",3.00,10.00,"C",4.20,,,
"ANNABESSACOO",9961.00,1.00,1987-6-5 0:00:00,"CW",3.00,8.00,"C",4.30,,,
"ANNABESSACOO",9961.00,1.00,1987-6-26 0:00:00,"CW",3.00,6.00,"C",6.10,,,
"ANNABESSACOO",9961.00,1.00,1987-7-17 0:00:00,"CW",3.00,6.00,"C",6.40,,,
"ANNABESSACOO",9961.00,1.00,1987-8-5 0:00:00,"CW",3.00,6.00,"C",19.30,,,
"ANNABESSACOO",9961.00,1.00,1987-8-25 0:00:00,"CW",3.00,7.00,"C",34.00,,,
"ANNABESSACOO",9961.00,1.00,1987-9-8 0:00:00,"CW",3.00,7.00,"C",30.60,,,
"ANNABESSACOO",9961.00,1.00,1987-10-2 0:00:00,"CW",3.00,8.00,"C",23.70,,,
"ANNABESSACOO",9961.00,1.00,1988-5-17 0:00:00,"CW",3.00,10.00,"C",3.90,,,
"ANNABESSACOO",9961.00,1.00,1988-6-15 0:00:00,"CW",3.00,8.00,"C",3.40,,,
"ANNABESSACOO",9961.00,1.00,1988-7-26 0:00:00,"CW",3.00,5.00,"C",12.90,,,
"ANNABESSACOO",9961.00,1.00,1988-8-11 0:00:00,"CW",3.00,5.00,"C",20.50,,,
"ANNABESSACOO",9961.00,1.00,1988-9-22 0:00:00,"CW",3.00,9.00,"C",22.70,,,
"ANNABESSACOO",9961.00,1.00,1988-10-11 0:00:00,"CW",3.00,10.00,"C",1.20,,,
"ANNABESSACOO",9961.00,1.00,1989-5-19 0:00:00,"CW",3.00,10.00,"C",11.50,,,
"ANNABESSACOO",9961.00,1.00,1989-6-19 0:00:00,"CW",3.00,5.00,"C",6.80,,,
"ANNABESSACOO",9961.00,1.00,1989-7-31 0:00:00,"CW",3.00,5.00,"C",2.90,,,
"ANNABESSACOO",9961.00,1.00,1989-9-18 0:00:00,"CW",3.00,8.00,"C",11.80,,,
"ANNABESSACOO",9961.00,1.00,1989-9-25 0:00:00,"CW",3.00,10.00,"C",13.20,,,
"ANNABESSACOO",9961.00,1.00,1989-10-25 0:00:00,"EI",3.00,10.00,"C",10.70,,,
"ANNABESSACOO",9961.00,1.00,1990-5-16 0:00:00,"EI",3.00,10.00,"C",2.70,,,
"ANNABESSACOO",9961.00,1.00,1990-6-19 0:00:00,"EI",3.00,7.00,"C",3.20,,,
"ANNABESSACOO",9961.00,1.00,1990-7-11 0:00:00,"EI",3.00,6.00,"C",6.00,,,
"ANNABESSACOO",9961.00,1.00,1990-8-1 0:00:00,"EI",3.00,5.00,"C",8.60,,,
"ANNABESSACOO",9961.00,1.00,1990-8-28 0:00:00,"EI",3.00,6.00,"C",47.30,,,
"ANNABESSACOO",9961.00,1.00,1990-9-20 0:00:00,"EI",3.00,9.00,"C",11.90,,,
"ANNABESSACOO",9961.00,1.00,1990-10-16 0:00:00,"EI",3.00,10.00,"C",24.90,,,
"ANNABESSACOO",9961.00,1.00,1991-5-20 0:00:00,"CW",3.00,8.00,"C",4.60,,,
"ANNABESSACOO",9961.00,1.00,1991-6-2 0:00:00,"CW",3.00,7.00,"C",4.10,,,
"ANNABESSACOO",9961.00,1.00,1991-7-2 0:00:00,"CW",3.00,6.00,"C",3.50,,,
"ANNABESSACOO",9961.00,1.00,1991-7-10 0:00:00,"CW",3.00,1.00,"G",3.70,,,
"ANNABESSACOO",9961.00,1.00,1991-7-10 0:00:00,"CW",3.00,3.00,"G",4.20,,,
"ANNABESSACOO",9961.00,1.00,1991-7-10 0:00:00,"CW",3.00,7.00,"G",3.80,,,
"ANNABESSACOO",9961.00,1.00,1991-7-29 0:00:00,"CW",3.00,0.10,"G",4.30,,,
"ANNABESSACOO",9961.00,1.00,1991-7-29 0:00:00,"CW",3.00,3.00,"G",9.10,,,
"ANNABESSACOO",9961.00,1.00,1991-7-29 0:00:00,"CW",3.00,6.00,"G",6.10,,,
"ANNABESSACOO",9961.00,1.00,1991-8-13 0:00:00,"CW",3.00,0.10,"G",16.90,,,
"ANNABESSACOO",9961.00,1.00,1991-8-13 0:00:00,"CW",3.00,3.00,"G",20.30,,,
"ANNABESSACOO",9961.00,1.00,1991-8-13 0:00:00,"CW",3.00,7.00,"G",6.90,,,
"ANNABESSACOO",9961.00,1.00,1991-8-27 0:00:00,"CW",3.00,0.10,"G",44.50,,,
"ANNABESSACOO",9961.00,1.00,1991-9-24 0:00:00,"CW",3.00,8.00,"C",12.40,,,
"ANNABESSACOO",9961.00,1.00,1992-2-25 0:00:00,"CW",3.00,10.00,"C",2.30,,,
"ANNABESSACOO",9961.00,1.00,1992-5-12 0:00:00,"CW",3.00,10.00,"C",5.50,"D",,
"ANNABESSACOO",9961.00,1.00,1992-5-12 0:00:00,"CW",3.00,10.00,"C",5.90,"D",,
"ANNABESSACOO",9961.00,1.00,1992-7-7 0:00:00,"CW",3.00,6.00,"C",4.20,,,
"ANNABESSACOO",9961.00,1.00,1992-8-6 0:00:00,"CW",3.00,6.00,"C",16.20,,,
"ANNABESSACOO",9961.00,1.00,1992-9-1 0:00:00,"CW",3.00,6.00,"C",23.20,,,
"ANNABESSACOO",9961.00,1.00,1992-10-7 0:00:00,"CW",3.00,10.00,"C",21.60,,,
"ANNABESSACOO",9961.00,1.00,1993-5-11 0:00:00,"CW",3.00,5.00,"C",10.10,,,
"ANNABESSACOO",9961.00,1.00,1993-6-8 0:00:00,"CW",3.00,9.00,"C",17.20,,,
"ANNABESSACOO",9961.00,1.00,1993-7-13 0:00:00,"CW",3.00,4.00,"C",9.40,,,
"ANNABESSACOO",9961.00,1.00,1993-8-10 0:00:00,"CW",3.00,4.00,"C",40.90,,,
"ANNABESSACOO",9961.00,1.00,1993-8-10 0:00:00,"CW",3.00,6.00,"C",28.00,,,
"ANNABESSACOO",9961.00,1.00,1993-9-8 0:00:00,"CW",3.00,6.00,"C",23.10,,,
"ANNABESSACOO",9961.00,1.00,1993-10-6 0:00:00,"CW",3.00,10.00,"C",25.90,,,
"ANNABESSACOO",9961.00,1.00,1994-5-10 0:00:00,"CW",3.00,10.00,"C",5.30,,,
"ANNABESSACOO",9961.00,1.00,1994-6-14 0:00:00,"CW",3.00,7.00,"C",4.60,,,
"ANNABESSACOO",9961.00,1.00,1994-7-12 0:00:00,"CW",3.00,6.00,"C",5.70,,,
"ANNABESSACOO",9961.00,1.00,1994-8-2 0:00:00,"CW",3.00,5.00,"C",25.60,,,
"ANNABESSACOO",9961.00,1.00,1994-9-13 0:00:00,"CW",3.00,10.00,"C",14.10,,,
"ANNABESSACOO",9961.00,1.00,1994-10-11 0:00:00,"CW",3.00,10.00,"C",14.50,,,
"ANNABESSACOO",9961.00,1.00,1996-5-22 0:00:00,"CW",3.00,10.00,"C",5.70,,,
"ANNABESSACOO",9961.00,1.00,1996-6-24 0:00:00,"CW",3.00,6.00,"C",5.30,,,
"ANNABESSACOO",9961.00,1.00,1996-7-22 0:00:00,"CW",3.00,8.00,"C",9.10,,,
"ANNABESSACOO",9961.00,1.00,1996-8-27 0:00:00,"CW",3.00,5.00,"C",14.60,,,
