"LAKNAM","MIDAS","STATION","SAMPDATE","AGENCY","PROJECT","TIME","SURVEYOR1","SURVEYOR2","SURVEYOR3","SURVEYOR4","WINDVEL","WINDDIR","CLOUDCVR","SECCHI","SECCBOT","SCOPE","REP","QA_CERT","GLOEO","COMMENTS"
"ANNABESSACOO",9961.00,1.00,1975-9-5 0:00:00,"CW",3.00,,"CWD",,,,,,,1.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1975-9-22 0:00:00,"CW",3.00,,"CWD",,,,,,,2.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-3-25 0:00:00,"EI",2.00,"0930","SCOTT,MATTHEW",,,,5.00,5.00,"O",1.60,"N","2",,,,
"ANNABESSACOO",9961.00,1.00,1976-3-25 0:00:00,"EI",2.00,"1130","MOWER,BARRY",,,,5.00,5.00,"O",1.60,"N","2",,,,
"ANNABESSACOO",9961.00,1.00,1976-4-21 0:00:00,"CW",3.00,"1030","MORAN",,,,3.00,3.00,"O",4.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-5-17 0:00:00,"CW",3.00,"1430","LEACH,ROBERT",,,,10.00,2.00,"O",3.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-6-10 0:00:00,"CW",3.00,"1245","CRANE,J E",,,,4.00,6.00,"B",3.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-6-24 0:00:00,"CW",3.00,"1430","CRANE,J E",,,,6.00,6.00,"C",4.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-7-8 0:00:00,"CW",3.00,"1210","LEACH,ROBERT",,,,8.00,6.00,"O",2.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-7-26 0:00:00,"CW",3.00,"0945","WILLIS",,,,3.00,4.00,"B",2.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-8-5 0:00:00,"CW",3.00,"0930","CRANE,J E",,,,2.00,6.00,"B",2.90,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-8-19 0:00:00,"CW",3.00,"1950","CRANE,J E",,,,0.00,,"B",2.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-9-3 0:00:00,"CW",3.00,"0930","MORAN",,,,3.00,4.00,"B",1.90,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-9-17 0:00:00,"CW",3.00,"1055","DOMINIE,DAVE",,,,0.00,,"O",1.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-10-1 0:00:00,"CW",3.00,"1340","MORAN",,,,2.00,1.00,"O",2.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1976-10-18 0:00:00,"CW",3.00,"1045","MORAN",,,,25.00,6.00,"O",2.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-5-5 0:00:00,"EI",3.00,"1145","DENNIS,JEFF","ELVIN,D.",,,0.00,0.00,"B",2.90,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-5-26 0:00:00,"EI",3.00,,"DEBBUS","DOMINIE,DAVE",,,15.00,1.00,"B",3.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-6-10 0:00:00,"EI",3.00,"1030","DENNIS,JEFF","KING,WENDY","WH",,15.00,7.00,,2.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-6-23 0:00:00,"EI",3.00,,"DENNIS,JEFF","KING,WENDY",,,0.00,0.00,,1.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-7-11 0:00:00,"EI",3.00,,"DENNIS,JEFF","KING,WENDY",,,5.00,6.00,,1.40,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-7-21 0:00:00,"EI",3.00,"1200","DENNIS,JEFF","KING,WENDY",,,1.00,7.00,"B",1.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-8-9 0:00:00,"EI",3.00,,"DOMINIE,DAVE","KING,WENDY",,,15.00,7.00,"B",1.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-8-16 0:00:00,"EI",3.00,,"DOMINIE,DAVE","PRATT,GLYNN",,,0.00,0.00,,1.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-8-24 0:00:00,"EI",3.00,,"DOMINIE,DAVE","KING,WENDY",,,0.00,0.00,,1.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-8-31 0:00:00,"EI",3.00,,"DOMINIE,DAVE","PRATT,GLYNN",,,0.00,0.00,,1.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-9-12 0:00:00,"EI",3.00,,"DOMINIE,DAVE","ELVIN,D.",,,0.00,0.00,,3.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-9-20 0:00:00,"EI",3.00,,,,,,0.00,0.00,,,,,,,,
"ANNABESSACOO",9961.00,1.00,1977-9-23 0:00:00,"EI",3.00,,"DOMINIE,DAVE","KING,WENDY",,,3.00,8.00,"O",2.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-9-26 0:00:00,"EI",3.00,,"DOMINIE,DAVE","KING,WENDY",,,1.00,3.00,"O",2.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-9-30 0:00:00,"EI",3.00,,"DOMINIE,DAVE","KING,WENDY",,,1.00,7.00,"B",1.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-10-5 0:00:00,"EI",3.00,,"DOMINIE,DAVE","DENNIS,JEFF",,,0.00,0.00,"B",1.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-10-11 0:00:00,"EI",3.00,,"DOMINIE,DAVE","KING,WENDY",,,1.00,1.00,"B",2.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-11-3 0:00:00,"EI",3.00,,"DENNIS,JEFF","KING,WENDY",,,0.00,0.00,"O",2.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1977-12-2 0:00:00,"CW",3.00,"1000","DOMINIE,DAVE",,,,7.00,6.00,"C",3.40,"N","2",,,,
"ANNABESSACOO",9961.00,1.00,1977-12-2 0:00:00,"EI",3.00,,"DOMINIE,DAVE",,,,7.00,6.00,"O",3.40,"N","2",,,,
"ANNABESSACOO",9961.00,1.00,1978-1-3 0:00:00,"EI",3.00,"1200","DOMINIE,DAVE",,,,10.00,6.00,"B",3.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-5-8 0:00:00,"CW",3.00,"1000","DOMINIE,DAVE","KING,WENDY",,,0.00,,"B",3.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-6-6 0:00:00,"CW",3.00,"1100","DOMINIE,DAVE","KING,WENDY",,,10.00,8.00,"B",3.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-6-12 0:00:00,"CW",3.00,"1230","DOMINIE,DAVE","KING,WENDY",,,3.00,4.00,"B",3.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-6-23 0:00:00,"CW",3.00,"1130","DOMINIE,DAVE","KING,WENDY",,,2.00,6.00,"B",3.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-7-3 0:00:00,"CW",3.00,"1115","KING,WENDY",,,,0.00,,"B",1.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-7-14 0:00:00,"CW",3.00,"1500","DOMINIE,DAVE","COUGHLIN",,,5.00,5.00,"O",1.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-7-21 0:00:00,"CW",3.00,"1300","DOMINIE,DAVE","GORDON,TOM",,,0.00,,"O",0.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-7-31 0:00:00,"CW",3.00,"1530","DOMINIE,DAVE","COUGHLIN","SL",,10.00,4.00,"O",1.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-8-7 0:00:00,"CW",3.00,"1115","KING,WENDY","GORDON,TOM",,,0.00,,"B",1.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-8-30 0:00:00,"CW",3.00,"1000","DOMINIE,DAVE","KING,WENDY",,,4.00,7.00,"C",2.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-9-8 0:00:00,"CW",3.00,"1500","KING,WENDY",,,,1.00,6.00,"C",1.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-9-13 0:00:00,"CW",3.00,"1515","DOMINIE,DAVE","KING,WENDY",,,3.00,8.00,"B",1.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-9-19 0:00:00,"CW",3.00,"1215","KING,WENDY",,,,1.00,4.00,"B",1.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-9-25 0:00:00,"CW",3.00,"1030","DOMINIE,DAVE",,,,1.00,8.00,"O",2.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-10-3 0:00:00,"CW",3.00,"1030","DOMINIE,DAVE","KING,WENDY",,,2.00,2.00,"O",1.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-10-24 0:00:00,"CW",3.00,"1430","DOMINIE,DAVE","KING,WENDY",,,3.00,7.00,"B",3.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-11-7 0:00:00,"CW",3.00,"1105","DOMINIE,DAVE","KING,WENDY",,,3.00,1.00,"O",4.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-11-27 0:00:00,"CW",3.00,"1030","DOMINIE,DAVE","KING,WENDY",,,1.00,1.00,"O",3.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1978-12-22 0:00:00,"CW",3.00,,"DOMINIE,DAVE","KING,WENDY",,,,,,4.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-2-28 0:00:00,"CW",3.00,"1045","DOMINIE,DAVE","KING,WENDY",,,,,"B",4.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-3-16 0:00:00,"CW",3.00,"1030","DENNIS,JEFF","KING,WENDY",,,,,,3.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-4-18 0:00:00,"CW",3.00,"1330","KING,WENDY","WHITTIER,SCOTT",,,3.00,1.00,"C",4.40,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-4-20 0:00:00,"CW",3.00,"1530","KING,WENDY","GORDON,TOM",,,5.00,1.00,"O",4.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-5-2 0:00:00,"CW",3.00,"1300","DENNIS,JEFF","KING,WENDY",,,12.00,8.00,"B",3.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-5-15 0:00:00,"EI",3.00,"0945","GORDON,TOM","DOMINIE,DAVE",,,0.00,,"O",3.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-5-31 0:00:00,"CW",3.00,"1500","DENNIS,JEFF","KING,WENDY",,,4.00,7.00,"O",3.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-6-12 0:00:00,"CW",3.00,"1530","DENNIS,JEFF","KING,WENDY",,,8.00,7.00,"C",3.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-6-20 0:00:00,"CW",3.00,"0930","KING,WENDY","SELSER,JAN",,,7.00,1.00,"B",4.40,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-6-27 0:00:00,"CW",3.00,"1130","KING,WENDY","SELSER,JAN",,,12.00,5.00,"C",3.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-3 0:00:00,"CW",3.00,"1100","KING,WENDY","SELSER,JAN",,,6.00,6.00,"C",4.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-9 0:00:00,"CW",3.00,"1045","KING,WENDY","GORDON,TOM",,,1.00,6.00,"B",4.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-12 0:00:00,"CW",3.00,"1000","KING,WENDY","SELSER,JAN",,,0.00,,"O",4.40,"N","2",,,,
"ANNABESSACOO",9961.00,1.00,1979-7-12 0:00:00,"CW",3.00,"1100","KING,WENDY","SELSER,JAN",,,0.00,,"O",4.40,"N","2",,,,
"ANNABESSACOO",9961.00,1.00,1979-7-17 0:00:00,"CW",3.00,"1100","KING,WENDY","SELSER,JAN",,,3.00,1.00,"C",4.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-20 0:00:00,"CW",3.00,"1410","SELSER,JANICE","HOUSE,JOHN",,,5.00,6.00,"B",3.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-23 0:00:00,"CW",3.00,"1030","GORDON,TOM","SELSER,JAN",,,,,,2.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-24 0:00:00,"CW",3.00,"1545","SELSER,JANICE","HOUSE,JOHN",,,,,,2.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-25 0:00:00,"CW",3.00,"1015","KING,WENDY","SELSER,JAN",,,0.00,,"O",2.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-26 0:00:00,"CW",3.00,"1200","KING,WENDY","SELSER,JAN",,,8.00,4.00,"O",3.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-27 0:00:00,"CW",3.00,"1600","KING,WENDY","HOUSE,JOHN",,,1.00,4.00,"B",2.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-30 0:00:00,"CW",3.00,"1130","GORDON,TOM","KING,WENDY",,,0.00,,"B",2.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-7-31 0:00:00,"CW",3.00,"1000","KING,WENDY","SELSER,JAN",,,3.00,5.00,"C",2.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-2 0:00:00,"CW",3.00,"1130","KING,WENDY","SELSER,JAN",,,1.00,3.00,"O",2.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-3 0:00:00,"CW",3.00,"1345","KING,WENDY","HOUSE,JOHN",,,0.00,,"B",2.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-6 0:00:00,"CW",3.00,"1100","SELSER,JANICE","HOUSE,JOHN",,,8.00,8.00,"B",2.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-9 0:00:00,"CW",3.00,"1450","KING,WENDY","HOUSE,JOHN",,,8.00,7.00,"B",2.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-13 0:00:00,"CW",3.00,"1435","KING,WENDY","HOUSE,JOHN",,,6.00,8.00,"C",2.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-14 0:00:00,"CW",3.00,"1350","KING,WENDY","HOUSE,JOHN",,,3.00,6.00,"B",2.40,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-16 0:00:00,"CW",3.00,"1620","KING,WENDY","HOUSE,JOHN",,,1.00,8.00,"C",2.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-20 0:00:00,"CW",3.00,"0910","SELSER,JANICE","HOUSE,JOHN",,,1.00,1.00,"O",2.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-21 0:00:00,"CW",3.00,"1350","KING,WENDY","HOUSE,JOHN",,,0.00,,"B",2.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-22 0:00:00,"CW",3.00,"1604","KING,WENDY","HOUSE,JOHN",,,0.00,,"B",2.90,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-24 0:00:00,"CW",3.00,"1015","SELSER,JANICE","HOUSE,JOHN",,,1.00,6.00,"C",3.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-28 0:00:00,"CW",3.00,"1230","KING,WENDY","HOUSE,JOHN",,,0.00,,"B",3.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-8-30 0:00:00,"CW",3.00,"1140","KING,WENDY","HOUSE,JOHN",,,3.00,5.00,"C",3.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-9-5 0:00:00,"CW",3.00,"1115","KING,WENDY","SELSER,JAN",,,0.00,,"B",5.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-9-10 0:00:00,"CW",3.00,"0915","KING,WENDY","SELSER,JAN",,,0.00,,"B",4.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-9-12 0:00:00,"CW",3.00,"1015","KING,WENDY","SELSER,JAN",,,4.00,7.00,"B",3.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-9-14 0:00:00,"CW",3.00,"1300","KING,WENDY","SELSER,JAN",,,15.00,4.00,"O",3.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-9-17 0:00:00,"CW",3.00,"1200","KING,WENDY","SELSER,JAN",,,4.00,5.00,"B",3.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-9-20 0:00:00,"CW",3.00,"1230","KING,WENDY","SELSER,JAN",,,1.00,6.00,"B",3.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-9-26 0:00:00,"CW",3.00,"0930","KING,WENDY","SELSER,JAN",,,0.00,,"B",3.40,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-10-3 0:00:00,"CW",3.00,"1230","KING,WENDY","SELSER,JAN",,,3.00,4.00,"O",3.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-10-16 0:00:00,"CW",3.00,"1530","DENNIS,JEFF","KING,WENDY",,,4.00,7.00,"B",4.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-10-30 0:00:00,"CW",3.00,"1500","DENNIS,JEFF","KING,WENDY",,,4.00,7.00,"C",3.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1979-11-15 0:00:00,"CW",3.00,"1030","KING,WENDY","SELSER,JAN",,,3.00,7.00,"B",3.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-2-20 0:00:00,"CW",3.00,"1030","KING,WENDY","SELSER,JAN",,,0.00,,"B",3.90,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-3-26 0:00:00,"CW",3.00,"1200","KING,WENDY","DENNIS,JEFF",,,10.00,8.00,"O",4.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-4-14 0:00:00,"CW",3.00,"1400","DENNIS,JEFF","KING,WENDY",,,15.00,5.00,"O",2.40,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-4-22 0:00:00,"CW",3.00,"1230","KING,WENDY","SELSER,JAN",,,8.00,2.00,"B",3.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-5-5 0:00:00,"CW",3.00,"1545","KING,WENDY","DENNIS,JEFF",,,4.00,6.00,"C",3.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-5-15 0:00:00,"CW",3.00,"1100","KING,WENDY","GORDON,TOM",,,2.00,6.00,"C",3.30,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-6-6 0:00:00,"CW",3.00,"1125","KING,WENDY","SAGE,KATHY",,,0.00,,"B",4.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-6-19 0:00:00,"CW",3.00,"1500","DENNIS,JEFF","KING,WENDY",,,9.00,5.00,"B",4.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-6-25 0:00:00,"CW",3.00,"1130","KING,WENDY","SAGE,KATHY",,,0.00,,"B",4.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-7-3 0:00:00,"CW",3.00,"1420","KING,WENDY","SAGE,KATHY",,,,,"B",4.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-7-10 0:00:00,"CW",3.00,"1600","DENNIS,JEFF","KING,WENDY",,,7.00,5.00,"B",4.40,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-7-16 0:00:00,"CW",3.00,"0955","KING,WENDY","SAGE,KATHY",,,0.00,,"B",3.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-7-18 0:00:00,"CW",3.00,"1110","KING,WENDY","SAGE,KATHY",,,0.00,,"B",3.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-7-23 0:00:00,"CW",3.00,"1030","KING,WENDY","SAGE,KATHY",,,,,"B",2.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-7-25 0:00:00,"CW",3.00,"1200","KING,WENDY","SAGE,KATHY",,,0.00,,"B",1.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-7-29 0:00:00,"CW",3.00,"1115","KING,WENDY","SAGE,KATHY",,,0.00,,"B",2.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-7-31 0:00:00,"CW",3.00,"1145","KING,WENDY","SAGE,KATHY",,,8.00,6.00,"B",2.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-8-5 0:00:00,"CW",3.00,"1320","KING,WENDY","SAGE,KATHY",,,0.00,,"B",2.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-8-7 0:00:00,"CW",3.00,"1455","KING,WENDY","SAGE,KATHY",,,4.00,7.00,"B",2.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-8-13 0:00:00,"CW",3.00,"1530","KING,WENDY","DOMINIE,DAVE",,,,,,2.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-8-18 0:00:00,"CW",3.00,"1135","KING,WENDY","SAGE,KATHY",,,0.00,,"B",1.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-8-22 0:00:00,"CW",3.00,"1515","DENNIS,JEFF","KING,WENDY",,,1.00,8.00,"B",2.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-8-26 0:00:00,"CW",3.00,"1340","KING,WENDY","SAGE,KATHY",,,0.00,,"B",2.90,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-8-28 0:00:00,"CW",3.00,"1525","KING,WENDY","SAGE,KATHY",,,2.00,2.00,"B",3.90,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-9-3 0:00:00,"CW",3.00,"1445","KING,WENDY","SAGE,KATHY",,,4.00,8.00,"B",3.10,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-9-15 0:00:00,"CW",3.00,"1455","KING,WENDY","SAGE,KATHY",,,8.00,1.00,"O",2.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-9-17 0:00:00,"CW",3.00,"1500","DENNIS,JEFF","KING,WENDY",,,13.00,5.00,"O",2.90,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-9-24 0:00:00,"CW",3.00,"1540","KING,WENDY","SAGE,KATHY",,,0.00,,"B",2.80,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-10-8 0:00:00,"CW",3.00,"1005","KING,WENDY","SAGE,KATHY",,,1.00,4.00,"B",3.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1980-11-4 0:00:00,"CW",3.00,"1125","KING,WENDY","SAGE,KATHY",,,7.00,6.00,"C",4.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1981-3-19 0:00:00,"CW",3.00,"1300","DENNIS,JEFF","KING,WENDY",,,4.00,1.00,"B",4.20,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1981-4-22 0:00:00,"CW",3.00,"1400","DENNIS,JEFF","KING,WENDY",,,15.00,7.00,"B",3.60,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1981-5-26 0:00:00,"CW",3.00,"1045","DENNIS,JEFF","KING,WENDY",,,2.00,6.00,"B",4.70,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1981-6-8 0:00:00,"CW",3.00,"1130","KING,WENDY","PRAY,JIM","BRENNAM",,8.00,6.00,"B",6.00,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1981-6-15 0:00:00,"CW",3.00,"1500","KING,WENDY","BRENNAN,ROSS",,,3.00,4.00,"C",5.50,"N","2","1",,,
"ANNABESSACOO",9961.00,1.00,1981-6-19 0:00:00,"CW",3.00,"1400","KING,WENDY","BRENNAN,ROSS",,,8.00,4.00,"B",6.10,"N","2","1",,,
