"lake","midas","station","date","time","agency","project","depth","type","chla","r","l","flag","year","month"
"annabessacook","9961","1",1979-07-12,"0:00:00","cw","3",7,"c",4.8,NA,"",NA,1979,7
"annabessacook","9961","1",1979-07-17,"0:00:00","cw","3",7,"c",5.3,NA,"",NA,1979,7
"annabessacook","9961","1",1979-07-20,"0:00:00","cw","3",6,"c",7.5,NA,"",NA,1979,7
"annabessacook","9961","1",1979-07-25,"0:00:00","cw","3",1,"g",12.6,NA,"",NA,1979,7
"annabessacook","9961","1",1979-07-25,"0:00:00","cw","3",2,"g",10.1,NA,"",NA,1979,7
"annabessacook","9961","1",1979-07-25,"0:00:00","cw","3",3,"g",9.6,NA,"",NA,1979,7
"annabessacook","9961","1",1979-07-25,"0:00:00","cw","3",4,"g",8.6,NA,"",NA,1979,7
"annabessacook","9961","1",1979-07-25,"0:00:00","cw","3",5,"g",7.5,NA,"",NA,1979,7
"annabessacook","9961","1",1979-07-25,"0:00:00","cw","3",6,"g",98.9,NA,"",NA,1979,7
"annabessacook","9961","1",1979-08-02,"0:00:00","cw","3",6,"c",10.3,NA,"",NA,1979,8
"annabessacook","9961","1",1979-08-09,"0:00:00","cw","3",5,"c",13,NA,"",NA,1979,8
"annabessacook","9961","1",1979-08-14,"0:00:00","cw","3",6,"c",13.7,NA,"",NA,1979,8
"annabessacook","9961","1",1979-08-14,"0:00:00","cw","3",6,"c",14.4,NA,"",NA,1979,8
"annabessacook","9961","1",1979-08-21,"0:00:00","cw","3",6,"c",16.8,NA,"",NA,1979,8
"annabessacook","9961","1",1979-08-24,"0:00:00","cw","3",8,"c",12.3,NA,"",NA,1979,8
"annabessacook","9961","1",1979-08-28,"0:00:00","cw","3",6,"c",11.8,NA,"",NA,1979,8
"annabessacook","9961","1",1979-08-30,"0:00:00","cw","3",6,"c",11.5,NA,"",NA,1979,8
"annabessacook","9961","1",1979-09-05,"0:00:00","cw","3",6,"c",5.4,NA,"",NA,1979,9
"annabessacook","9961","1",1979-09-05,"0:00:00","cw","3",6,"c",5.5,NA,"",NA,1979,9
"annabessacook","9961","1",1979-09-10,"0:00:00","cw","3",7,"c",8.8,NA,"",NA,1979,9
"annabessacook","9961","1",1979-09-12,"0:00:00","cw","3",7,"c",11.8,NA,"",NA,1979,9
"annabessacook","9961","1",1979-09-14,"0:00:00","cw","3",8,"c",10.8,NA,"",NA,1979,9
"annabessacook","9961","1",1979-09-14,"0:00:00","cw","3",8,"c",11.3,NA,"",NA,1979,9
"annabessacook","9961","1",1979-09-20,"0:00:00","cw","3",8,"c",7.6,NA,"",NA,1979,9
"annabessacook","9961","1",1979-09-26,"0:00:00","cw","3",10,"c",7.4,NA,"",NA,1979,9
"annabessacook","9961","1",1979-10-03,"0:00:00","cw","3",10,"c",6.9,NA,"",NA,1979,10
"annabessacook","9961","1",1979-10-16,"0:00:00","cw","3",10,"c",6.3,NA,"",NA,1979,10
"annabessacook","9961","1",1979-10-30,"0:00:00","cw","3",10,"c",8.9,NA,"",NA,1979,10
"annabessacook","9961","1",1979-10-30,"0:00:00","ei","2",10,"c",9.1,NA,"",NA,1979,10
"annabessacook","9961","1",1979-11-15,"0:00:00","cw","3",10,"c",9.1,NA,"",NA,1979,11
"annabessacook","9961","1",1980-01-21,"0:00:00","cw","3",10,"c",3.6,NA,"",NA,1980,1
"annabessacook","9961","1",1980-01-21,"0:00:00","cw","3",10,"c",4.9,NA,"",NA,1980,1
"annabessacook","9961","1",1980-02-20,"0:00:00","cw","3",10,"c",5.2,NA,"",NA,1980,2
"annabessacook","9961","1",1980-02-20,"0:00:00","cw","3",10,"c",5.8,NA,"",NA,1980,2
"annabessacook","9961","1",1980-03-26,"0:00:00","cw","3",10,"c",6.1,NA,"",NA,1980,3
"annabessacook","9961","1",1980-03-26,"0:00:00","cw","3",10,"c",6.4,NA,"",NA,1980,3
"annabessacook","9961","1",1980-04-14,"0:00:00","cw","3",10,"c",8.7,NA,"",NA,1980,4
"annabessacook","9961","1",1980-04-14,"0:00:00","cw","3",10,"c",9.3,NA,"",NA,1980,4
"annabessacook","9961","1",1980-04-22,"0:00:00","cw","3",10,"c",6.2,NA,"",NA,1980,4
"annabessacook","9961","1",1980-04-22,"0:00:00","cw","3",10,"c",6.3,NA,"",NA,1980,4
"annabessacook","9961","1",1980-05-05,"0:00:00","cw","3",10,"c",6,NA,"",NA,1980,5
"annabessacook","9961","1",1980-05-15,"0:00:00","cw","3",10,"c",5.4,NA,"",NA,1980,5
"annabessacook","9961","1",1980-06-06,"0:00:00","cw","3",10,"c",4.5,NA,"",NA,1980,6
"annabessacook","9961","1",1980-06-19,"0:00:00","cw","3",10,"c",4.2,NA,"",NA,1980,6
"annabessacook","9961","1",1980-06-19,"0:00:00","cw","3",10,"c",4.3,NA,"",NA,1980,6
"annabessacook","9961","1",1980-06-25,"0:00:00","cw","3",7,"c",4.5,NA,"",NA,1980,6
"annabessacook","9961","1",1980-07-10,"0:00:00","cw","3",8,"c",4.2,NA,"",NA,1980,7
"annabessacook","9961","1",1980-07-16,"0:00:00","cw","3",8,"c",6.2,NA,"",NA,1980,7
"annabessacook","9961","1",1980-07-23,"0:00:00","cw","3",8,"c",8.9,NA,"",NA,1980,7
"annabessacook","9961","1",1980-07-25,"0:00:00","cw","3",7,"c",11.8,NA,"",NA,1980,7
"annabessacook","9961","1",1980-07-29,"0:00:00","cw","3",7,"c",10.9,NA,"",NA,1980,7
"annabessacook","9961","1",1980-08-07,"0:00:00","cw","3",6,"c",10.6,NA,"",NA,1980,8
"annabessacook","9961","1",1980-08-22,"0:00:00","cw","3",7,"c",15.9,NA,"",NA,1980,8
"annabessacook","9961","1",1980-09-03,"0:00:00","cw","3",4,"c",24.1,NA,"",NA,1980,9
"annabessacook","9961","1",1980-09-17,"0:00:00","cw","3",10,"c",12.8,NA,"",NA,1980,9
"annabessacook","9961","1",1980-09-24,"0:00:00","cw","3",10,"c",10.1,NA,"",NA,1980,9
"annabessacook","9961","1",1980-10-08,"0:00:00","cw","3",10,"c",13.3,NA,"",NA,1980,10
"annabessacook","9961","1",1980-11-04,"0:00:00","cw","3",10,"c",6.2,NA,"",NA,1980,11
"annabessacook","9961","1",1981-03-19,"0:00:00","cw","3",10,"c",8.2,NA,"",NA,1981,3
"annabessacook","9961","1",1981-03-19,"0:00:00","cw","3",10,"c",8.3,NA,"",NA,1981,3
"annabessacook","9961","1",1981-04-22,"0:00:00","cw","3",10,"c",7.2,NA,"",NA,1981,4
"annabessacook","9961","1",1981-05-26,"0:00:00","cw","3",10,"c",3.5,NA,"",NA,1981,5
"annabessacook","9961","1",1981-06-19,"0:00:00","cw","3",10,"c",2.9,NA,"",NA,1981,6
"annabessacook","9961","1",1981-06-19,"0:00:00","cw","3",10,"c",3.1,NA,"",NA,1981,6
"annabessacook","9961","1",1981-07-15,"0:00:00","cw","3",5,"c",9.3,NA,"",NA,1981,7
"annabessacook","9961","1",1981-07-15,"0:00:00","cw","3",6,"c",11.8,NA,"",NA,1981,7
"annabessacook","9961","1",1981-07-15,"0:00:00","cw","3",6,"c",12,NA,"",NA,1981,7
"annabessacook","9961","1",1981-08-05,"0:00:00","cw","3",5,"c",21,NA,"",NA,1981,8
"annabessacook","9961","1",1981-08-05,"0:00:00","cw","3",7,"c",14.9,NA,"",NA,1981,8
"annabessacook","9961","1",1981-08-21,"0:00:00","cw","3",7,"c",16.3,NA,"",NA,1981,8
"annabessacook","9961","1",1981-08-31,"0:00:00","cw","3",8,"c",16.5,NA,"",NA,1981,8
"annabessacook","9961","1",1981-09-17,"0:00:00","cw","3",8,"c",42.9,NA,"",NA,1981,9
"annabessacook","9961","1",1981-10-09,"0:00:00","cw","3",10,"c",24,NA,"",NA,1981,10
"annabessacook","9961","1",1981-10-21,"0:00:00","cw","3",10,"c",9.9,NA,"",NA,1981,10
"annabessacook","9961","1",1981-10-21,"0:00:00","cw","3",10,"c",10.1,NA,"",NA,1981,10
"annabessacook","9961","1",1981-11-19,"0:00:00","cw","3",10,"c",6.2,NA,"",NA,1981,11
"annabessacook","9961","1",1982-03-12,"0:00:00","cw","3",6,"c",1.3,NA,"",NA,1982,3
"annabessacook","9961","1",1982-03-12,"0:00:00","cw","3",10,"c",0.7,NA,"",NA,1982,3
"annabessacook","9961","1",1982-05-04,"0:00:00","cw","3",10,"c",2.4,NA,"",NA,1982,5
"annabessacook","9961","1",1982-05-04,"0:00:00","cw","3",10,"c",2.7,NA,"",NA,1982,5
"annabessacook","9961","1",1982-05-13,"0:00:00","cw","3",10,"c",5.9,NA,"",NA,1982,5
"annabessacook","9961","1",1982-06-03,"0:00:00","cw","3",10,"c",5.4,NA,"",NA,1982,6
"annabessacook","9961","1",1982-07-08,"0:00:00","cw","3",8,"c",5.1,NA,"",NA,1982,7
"annabessacook","9961","1",1982-08-02,"0:00:00","cw","3",5,"c",8.8,NA,"",NA,1982,8
"annabessacook","9961","1",1982-08-02,"0:00:00","cw","3",5,"c",8.9,NA,"",NA,1982,8
"annabessacook","9961","1",1982-08-19,"0:00:00","cw","3",6,"c",21,NA,"",NA,1982,8
"annabessacook","9961","1",1982-09-09,"0:00:00","cw","3",7,"c",43.8,NA,"",NA,1982,9
"annabessacook","9961","1",1982-09-17,"0:00:00","cw","3",8,"c",12.6,NA,"",NA,1982,9
"annabessacook","9961","1",1982-09-17,"0:00:00","cw","3",8,"c",14.6,NA,"",NA,1982,9
"annabessacook","9961","1",1982-10-13,"0:00:00","cw","3",10,"c",31.9,NA,"",NA,1982,10
"annabessacook","9961","1",1982-11-02,"0:00:00","cw","3",10,"c",11.6,NA,"",NA,1982,11
"annabessacook","9961","1",1982-11-18,"0:00:00","cw","3",10,"c",17.6,NA,"",NA,1982,11
"annabessacook","9961","1",1982-11-18,"0:00:00","cw","3",10,"c",17.8,NA,"",NA,1982,11
"annabessacook","9961","1",1983-05-18,"0:00:00","cw","3",10,"c",6.4,NA,"",NA,1983,5
"annabessacook","9961","1",1983-06-15,"0:00:00","cw","3",6,"c",7,NA,"",NA,1983,6
"annabessacook","9961","1",1983-07-07,"0:00:00","cw","3",5,"c",4.8,NA,"",NA,1983,7
"annabessacook","9961","1",1983-08-19,"0:00:00","cw","3",6,"c",8,NA,"",NA,1983,8
"annabessacook","9961","1",1983-09-02,"0:00:00","cw","3",6,"c",30.9,NA,"",NA,1983,9
"annabessacook","9961","1",1983-09-20,"0:00:00","cw","3",7,"c",67,NA,"",NA,1983,9
"annabessacook","9961","1",1983-09-20,"0:00:00","cw","3",7,"c",70.5,NA,"",NA,1983,9
"annabessacook","9961","1",1983-10-12,"0:00:00","cw","3",10,"c",9.8,NA,"",NA,1983,10
"annabessacook","9961","1",1983-11-08,"0:00:00","cw","3",10,"c",12.6,NA,"",NA,1983,11
"annabessacook","9961","1",1984-05-15,"0:00:00","cw","3",6,"c",5.2,NA,"",NA,1984,5
"annabessacook","9961","1",1984-05-15,"0:00:00","cw","3",10,"c",7.3,NA,"",NA,1984,5
"annabessacook","9961","1",1984-05-15,"0:00:00","cw","3",10,"c",7.4,NA,"",NA,1984,5
"annabessacook","9961","1",1984-05-15,"0:00:00","cw","3",10,"c",8.3,NA,"",NA,1984,5
"annabessacook","9961","1",1984-08-07,"0:00:00","cw","3",5,"c",7.1,NA,"",NA,1984,8
"annabessacook","9961","1",1984-09-05,"0:00:00","cw","3",6,"c",53.2,NA,"",NA,1984,9
"annabessacook","9961","1",1984-09-21,"0:00:00","cw","3",7,"c",33.3,NA,"",NA,1984,9
"annabessacook","9961","1",1984-10-03,"0:00:00","cw","3",10,"c",12.6,NA,"",NA,1984,10
"annabessacook","9961","1",1985-07-02,"0:00:00","cw","3",7,"c",5.6,NA,"",NA,1985,7
"annabessacook","9961","1",1985-07-18,"0:00:00","cw","3",6,"c",6.6,NA,"",NA,1985,7
"annabessacook","9961","1",1985-08-13,"0:00:00","cw","3",5,"c",46.4,NA,"",NA,1985,8
"annabessacook","9961","1",1985-08-13,"0:00:00","cw","3",5,"c",49.3,NA,"",NA,1985,8
"annabessacook","9961","1",1985-09-12,"0:00:00","cw","3",8,"c",19.9,NA,"",NA,1985,9
"annabessacook","9961","1",1985-10-02,"0:00:00","cw","3",7,"c",27.7,NA,"",NA,1985,10
"annabessacook","9961","1",1986-05-27,"0:00:00","cw","3",6,"c",5.5,NA,"",NA,1986,5
"annabessacook","9961","1",1986-06-18,"0:00:00","ei","2",8,"c",3.7,NA,"",NA,1986,6
"annabessacook","9961","1",1986-07-18,"0:00:00","cw","3",7,"c",7.1,NA,"",NA,1986,7
"annabessacook","9961","1",1986-08-27,"0:00:00","cw","3",8,"c",28.6,NA,"",NA,1986,8
"annabessacook","9961","1",1986-09-10,"0:00:00","cw","3",9,"c",38.2,NA,"",NA,1986,9
"annabessacook","9961","1",1986-10-03,"0:00:00","cw","3",10,"c",8.8,NA,"",NA,1986,10
"annabessacook","9961","1",1986-10-03,"0:00:00","cw","3",10,"c",9.6,NA,"",NA,1986,10
"annabessacook","9961","1",1987-04-28,"0:00:00","cw","3",10,"c",4.2,NA,"",NA,1987,4
"annabessacook","9961","1",1987-06-05,"0:00:00","cw","3",8,"c",4.3,NA,"",NA,1987,6
"annabessacook","9961","1",1987-06-26,"0:00:00","cw","3",6,"c",6.1,NA,"",NA,1987,6
"annabessacook","9961","1",1987-07-17,"0:00:00","cw","3",6,"c",6.4,NA,"",NA,1987,7
"annabessacook","9961","1",1987-08-05,"0:00:00","cw","3",6,"c",19.3,NA,"",NA,1987,8
"annabessacook","9961","1",1987-08-25,"0:00:00","cw","3",7,"c",34,NA,"",NA,1987,8
"annabessacook","9961","1",1987-09-08,"0:00:00","cw","3",7,"c",30.6,NA,"",NA,1987,9
"annabessacook","9961","1",1987-10-02,"0:00:00","cw","3",8,"c",23.7,NA,"",NA,1987,10
"annabessacook","9961","1",1988-05-17,"0:00:00","cw","3",10,"c",3.9,NA,"",NA,1988,5
"annabessacook","9961","1",1988-06-15,"0:00:00","cw","3",8,"c",3.4,NA,"",NA,1988,6
"annabessacook","9961","1",1988-07-26,"0:00:00","cw","3",5,"c",12.9,NA,"",NA,1988,7
"annabessacook","9961","1",1988-08-11,"0:00:00","cw","3",5,"c",20.5,NA,"",NA,1988,8
"annabessacook","9961","1",1988-09-22,"0:00:00","cw","3",9,"c",22.7,NA,"",NA,1988,9
"annabessacook","9961","1",1988-10-11,"0:00:00","cw","3",10,"c",1.2,NA,"",NA,1988,10
"annabessacook","9961","1",1989-05-19,"0:00:00","cw","3",10,"c",11.5,NA,"",NA,1989,5
"annabessacook","9961","1",1989-06-19,"0:00:00","cw","3",5,"c",6.8,NA,"",NA,1989,6
"annabessacook","9961","1",1989-07-31,"0:00:00","cw","3",5,"c",2.9,NA,"",NA,1989,7
"annabessacook","9961","1",1989-09-18,"0:00:00","cw","3",8,"c",11.8,NA,"",NA,1989,9
"annabessacook","9961","1",1989-09-25,"0:00:00","cw","3",10,"c",13.2,NA,"",NA,1989,9
"annabessacook","9961","1",1989-10-25,"0:00:00","ei","3",10,"c",10.7,NA,"",NA,1989,10
"annabessacook","9961","1",1990-05-16,"0:00:00","ei","3",10,"c",2.7,NA,"",NA,1990,5
"annabessacook","9961","1",1990-06-19,"0:00:00","ei","3",7,"c",3.2,NA,"",NA,1990,6
"annabessacook","9961","1",1990-07-11,"0:00:00","ei","3",6,"c",6,NA,"",NA,1990,7
"annabessacook","9961","1",1990-08-01,"0:00:00","ei","3",5,"c",8.6,NA,"",NA,1990,8
"annabessacook","9961","1",1990-08-28,"0:00:00","ei","3",6,"c",47.3,NA,"",NA,1990,8
"annabessacook","9961","1",1990-09-20,"0:00:00","ei","3",9,"c",11.9,NA,"",NA,1990,9
"annabessacook","9961","1",1990-10-16,"0:00:00","ei","3",10,"c",24.9,NA,"",NA,1990,10
"annabessacook","9961","1",1991-05-20,"0:00:00","cw","3",8,"c",4.6,NA,"",NA,1991,5
"annabessacook","9961","1",1991-06-02,"0:00:00","cw","3",7,"c",4.1,NA,"",NA,1991,6
"annabessacook","9961","1",1991-07-02,"0:00:00","cw","3",6,"c",3.5,NA,"",NA,1991,7
"annabessacook","9961","1",1991-07-10,"0:00:00","cw","3",1,"g",3.7,NA,"",NA,1991,7
"annabessacook","9961","1",1991-07-10,"0:00:00","cw","3",3,"g",4.2,NA,"",NA,1991,7
"annabessacook","9961","1",1991-07-10,"0:00:00","cw","3",7,"g",3.8,NA,"",NA,1991,7
"annabessacook","9961","1",1991-07-29,"0:00:00","cw","3",0.1,"g",4.3,NA,"",NA,1991,7
"annabessacook","9961","1",1991-07-29,"0:00:00","cw","3",3,"g",9.1,NA,"",NA,1991,7
"annabessacook","9961","1",1991-07-29,"0:00:00","cw","3",6,"g",6.1,NA,"",NA,1991,7
"annabessacook","9961","1",1991-08-13,"0:00:00","cw","3",0.1,"g",16.9,NA,"",NA,1991,8
"annabessacook","9961","1",1991-08-13,"0:00:00","cw","3",3,"g",20.3,NA,"",NA,1991,8
"annabessacook","9961","1",1991-08-13,"0:00:00","cw","3",7,"g",6.9,NA,"",NA,1991,8
"annabessacook","9961","1",1991-08-27,"0:00:00","cw","3",0.1,"g",44.5,NA,"",NA,1991,8
"annabessacook","9961","1",1991-09-24,"0:00:00","cw","3",8,"c",12.4,NA,"",NA,1991,9
"annabessacook","9961","1",1992-02-25,"0:00:00","cw","3",10,"c",2.3,NA,"",NA,1992,2
"annabessacook","9961","1",1992-05-12,"0:00:00","cw","3",10,"c",5.5,"d","",NA,1992,5
"annabessacook","9961","1",1992-05-12,"0:00:00","cw","3",10,"c",5.9,"d","",NA,1992,5
"annabessacook","9961","1",1992-07-07,"0:00:00","cw","3",6,"c",4.2,NA,"",NA,1992,7
"annabessacook","9961","1",1992-08-06,"0:00:00","cw","3",6,"c",16.2,NA,"",NA,1992,8
"annabessacook","9961","1",1992-09-01,"0:00:00","cw","3",6,"c",23.2,NA,"",NA,1992,9
"annabessacook","9961","1",1992-10-07,"0:00:00","cw","3",10,"c",21.6,NA,"",NA,1992,10
"annabessacook","9961","1",1993-05-11,"0:00:00","cw","3",5,"c",10.1,NA,"",NA,1993,5
"annabessacook","9961","1",1993-06-08,"0:00:00","cw","3",9,"c",17.2,NA,"",NA,1993,6
"annabessacook","9961","1",1993-07-13,"0:00:00","cw","3",4,"c",9.4,NA,"",NA,1993,7
"annabessacook","9961","1",1993-08-10,"0:00:00","cw","3",4,"c",40.9,NA,"",NA,1993,8
"annabessacook","9961","1",1993-08-10,"0:00:00","cw","3",6,"c",28,NA,"",NA,1993,8
"annabessacook","9961","1",1993-09-08,"0:00:00","cw","3",6,"c",23.1,NA,"",NA,1993,9
"annabessacook","9961","1",1993-10-06,"0:00:00","cw","3",10,"c",25.9,NA,"",NA,1993,10
"annabessacook","9961","1",1994-05-10,"0:00:00","cw","3",10,"c",5.3,NA,"",NA,1994,5
"annabessacook","9961","1",1994-06-14,"0:00:00","cw","3",7,"c",4.6,NA,"",NA,1994,6
"annabessacook","9961","1",1994-07-12,"0:00:00","cw","3",6,"c",5.7,NA,"",NA,1994,7
"annabessacook","9961","1",1994-08-02,"0:00:00","cw","3",5,"c",25.6,NA,"",NA,1994,8
"annabessacook","9961","1",1994-09-13,"0:00:00","cw","3",10,"c",14.1,NA,"",NA,1994,9
"annabessacook","9961","1",1994-10-11,"0:00:00","cw","3",10,"c",14.5,NA,"",NA,1994,10
"annabessacook","9961","1",1996-05-22,"0:00:00","cw","3",10,"c",5.7,NA,"",NA,1996,5
"annabessacook","9961","1",1996-06-24,"0:00:00","cw","3",6,"c",5.3,NA,"",NA,1996,6
"annabessacook","9961","1",1996-07-22,"0:00:00","cw","3",8,"c",9.1,NA,"",NA,1996,7
"annabessacook","9961","1",1996-08-27,"0:00:00","cw","3",5,"c",14.6,NA,"",NA,1996,8
"annabessacook","9961","1",1996-09-26,"0:00:00","cw","3",10,"c",12.1,NA,"",NA,1996,9
"annabessacook","9961","1",1997-05-21,"0:00:00","cw","3",10,"c",6.8,NA,"d",NA,1997,5
"annabessacook","9961","1",1997-06-11,"0:00:00","cw","3",4,"c",3.2,NA,"d",NA,1997,6
"annabessacook","9961","1",1997-07-07,"0:00:00","cw","3",6,"c",3.37,NA,"d",NA,1997,7
"annabessacook","9961","1",1997-08-08,"0:00:00","cw","3",6,"c",9.24,NA,"d",NA,1997,8
"annabessacook","9961","1",1997-09-04,"0:00:00","cw","3",7,"c",19.77,NA,"d",NA,1997,9
"annabessacook","9961","1",1997-10-07,"0:00:00","cw","3",9,"c",63.3,NA,"d",NA,1997,10
"annabessacook","9961","1",1998-05-20,"0:00:00","cw","3",5,"c",4.56,"1","d",NA,1998,5
"annabessacook","9961","1",1998-06-22,"0:00:00","cw","3",10,"c",3.83,"1","d",NA,1998,6
"annabessacook","9961","1",1998-07-22,"0:00:00","cw","3",4,"c",17.97,"1","d",NA,1998,7
