"lake","midas","station","date","time","agency","project","surveyor1","surveyor2","surveyor3","surveyor4","windvel","winddir","cloudcvr","secchi","seccbot","scope","rep","qa_cert","gloeo","comments","sampleid","year","month"
"annabessacook","9961","1",1976-07-08,"0:00:00","cw","3","leach,robert","","",NA,8,6,"o",2.2,"n","2","1",NA,NA,"","9961_1_1976-07-08_cw",1976,7
"annabessacook","9961","1",1976-07-26,"0:00:00","cw","3","willis","","",NA,3,4,"b",2.1,"n","2","1",NA,NA,"","9961_1_1976-07-26_cw",1976,7
"annabessacook","9961","1",1976-08-05,"0:00:00","cw","3","crane,j e","","",NA,2,6,"b",2.9,"n","2","1",NA,NA,"","9961_1_1976-08-05_cw",1976,8
"annabessacook","9961","1",1976-08-19,"0:00:00","cw","3","crane,j e","","",NA,0,NA,"b",2.8,"n","2","1",NA,NA,"","9961_1_1976-08-19_cw",1976,8
"annabessacook","9961","1",1976-09-03,"0:00:00","cw","3","moran","","",NA,3,4,"b",1.9,"n","2","1",NA,NA,"","9961_1_1976-09-03_cw",1976,9
"annabessacook","9961","1",1976-09-17,"0:00:00","cw","3","dominie,dave","","",NA,0,NA,"o",1,"n","2","1",NA,NA,"","9961_1_1976-09-17_cw",1976,9
"annabessacook","9961","1",1976-10-01,"0:00:00","cw","3","moran","","",NA,2,1,"o",2,"n","2","1",NA,NA,"","9961_1_1976-10-01_cw",1976,10
"annabessacook","9961","1",1976-10-18,"0:00:00","cw","3","moran","","",NA,25,6,"o",2.8,"n","2","1",NA,NA,"","9961_1_1976-10-18_cw",1976,10
"annabessacook","9961","1",1977-05-05,"0:00:00","ei","3","dennis,jeff","elvin,d.","",NA,0,0,"b",2.9,"n","2","1",NA,NA,"","9961_1_1977-05-05_ei",1977,5
"annabessacook","9961","1",1977-05-26,"0:00:00","ei","3","debbus","dominie,dave","",NA,15,1,"b",3.5,"n","2","1",NA,NA,"","9961_1_1977-05-26_ei",1977,5
"annabessacook","9961","1",1977-06-10,"0:00:00","ei","3","dennis,jeff","king,wendy","wh",NA,15,7,NA,2.1,"n","2","1",NA,NA,"","9961_1_1977-06-10_ei",1977,6
"annabessacook","9961","1",1977-06-23,"0:00:00","ei","3","dennis,jeff","king,wendy","",NA,0,0,NA,1.6,"n","2","1",NA,NA,"","9961_1_1977-06-23_ei",1977,6
"annabessacook","9961","1",1977-07-11,"0:00:00","ei","3","dennis,jeff","king,wendy","",NA,5,6,NA,1.4,"n","2","1",NA,NA,"","9961_1_1977-07-11_ei",1977,7
"annabessacook","9961","1",1977-07-21,"0:00:00","ei","3","dennis,jeff","king,wendy","",NA,1,7,"b",1.1,"n","2","1",NA,NA,"","9961_1_1977-07-21_ei",1977,7
"annabessacook","9961","1",1977-08-09,"0:00:00","ei","3","dominie,dave","king,wendy","",NA,15,7,"b",1.3,"n","2","1",NA,NA,"","9961_1_1977-08-09_ei",1977,8
"annabessacook","9961","1",1977-08-16,"0:00:00","ei","3","dominie,dave","pratt,glynn","",NA,0,0,NA,1.1,"n","2","1",NA,NA,"","9961_1_1977-08-16_ei",1977,8
"annabessacook","9961","1",1977-08-24,"0:00:00","ei","3","dominie,dave","king,wendy","",NA,0,0,NA,1.1,"n","2","1",NA,NA,"","9961_1_1977-08-24_ei",1977,8
"annabessacook","9961","1",1977-08-31,"0:00:00","ei","3","dominie,dave","pratt,glynn","",NA,0,0,NA,1,"n","2","1",NA,NA,"","9961_1_1977-08-31_ei",1977,8
"annabessacook","9961","1",1977-09-12,"0:00:00","ei","3","dominie,dave","elvin,d.","",NA,0,0,NA,3,"n","2","1",NA,NA,"","9961_1_1977-09-12_ei",1977,9
"annabessacook","9961","1",1977-09-20,"0:00:00","ei","3","","","",NA,0,0,NA,NA,NA,NA,NA,NA,NA,"","9961_1_1977-09-20_ei",1977,9
"annabessacook","9961","1",1977-09-23,"0:00:00","ei","3","dominie,dave","king,wendy","",NA,3,8,"o",2.2,"n","2","1",NA,NA,"","9961_1_1977-09-23_ei",1977,9
"annabessacook","9961","1",1977-09-26,"0:00:00","ei","3","dominie,dave","king,wendy","",NA,1,3,"o",2,"n","2","1",NA,NA,"","9961_1_1977-09-26_ei",1977,9
"annabessacook","9961","1",1977-09-30,"0:00:00","ei","3","dominie,dave","king,wendy","",NA,1,7,"b",1.8,"n","2","1",NA,NA,"","9961_1_1977-09-30_ei",1977,9
"annabessacook","9961","1",1977-10-05,"0:00:00","ei","3","dominie,dave","dennis,jeff","",NA,0,0,"b",1.8,"n","2","1",NA,NA,"","9961_1_1977-10-05_ei",1977,10
"annabessacook","9961","1",1977-10-11,"0:00:00","ei","3","dominie,dave","king,wendy","",NA,1,1,"b",2,"n","2","1",NA,NA,"","9961_1_1977-10-11_ei",1977,10
"annabessacook","9961","1",1977-11-03,"0:00:00","ei","3","dennis,jeff","king,wendy","",NA,0,0,"o",2.6,"n","2","1",NA,NA,"","9961_1_1977-11-03_ei",1977,11
"annabessacook","9961","1",1977-12-02,"0:00:00","cw","3","dominie,dave","","",NA,7,6,"c",3.4,"n","2",NA,NA,NA,"","9961_1_1977-12-02_cw",1977,12
"annabessacook","9961","1",1977-12-02,"0:00:00","ei","3","dominie,dave","","",NA,7,6,"o",3.4,"n","2",NA,NA,NA,"","9961_1_1977-12-02_ei",1977,12
"annabessacook","9961","1",1978-01-03,"0:00:00","ei","3","dominie,dave","","",NA,10,6,"b",3.5,"n","2","1",NA,NA,"","9961_1_1978-01-03_ei",1978,1
"annabessacook","9961","1",1978-05-08,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,0,NA,"b",3,"n","2","1",NA,NA,"","9961_1_1978-05-08_cw",1978,5
"annabessacook","9961","1",1978-06-06,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,10,8,"b",3.2,"n","2","1",NA,NA,"","9961_1_1978-06-06_cw",1978,6
"annabessacook","9961","1",1978-06-12,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,3,4,"b",3.1,"n","2","1",NA,NA,"","9961_1_1978-06-12_cw",1978,6
"annabessacook","9961","1",1978-06-23,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,2,6,"b",3.1,"n","2","1",NA,NA,"","9961_1_1978-06-23_cw",1978,6
"annabessacook","9961","1",1978-07-03,"0:00:00","cw","3","king,wendy","","",NA,0,NA,"b",1.8,"n","2","1",NA,NA,"","9961_1_1978-07-03_cw",1978,7
"annabessacook","9961","1",1978-07-14,"0:00:00","cw","3","dominie,dave","coughlin","",NA,5,5,"o",1.1,"n","2","1",NA,NA,"","9961_1_1978-07-14_cw",1978,7
"annabessacook","9961","1",1978-07-21,"0:00:00","cw","3","dominie,dave","gordon,tom","",NA,0,NA,"o",0.8,"n","2","1",NA,NA,"","9961_1_1978-07-21_cw",1978,7
"annabessacook","9961","1",1978-07-31,"0:00:00","cw","3","dominie,dave","coughlin","sl",NA,10,4,"o",1.3,"n","2","1",NA,NA,"","9961_1_1978-07-31_cw",1978,7
"annabessacook","9961","1",1978-08-07,"0:00:00","cw","3","king,wendy","gordon,tom","",NA,0,NA,"b",1,"n","2","1",NA,NA,"","9961_1_1978-08-07_cw",1978,8
"annabessacook","9961","1",1978-08-30,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,4,7,"c",2.2,"n","2","1",NA,NA,"","9961_1_1978-08-30_cw",1978,8
"annabessacook","9961","1",1978-09-08,"0:00:00","cw","3","king,wendy","","",NA,1,6,"c",1.5,"n","2","1",NA,NA,"","9961_1_1978-09-08_cw",1978,9
"annabessacook","9961","1",1978-09-13,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,3,8,"b",1.7,"n","2","1",NA,NA,"","9961_1_1978-09-13_cw",1978,9
"annabessacook","9961","1",1978-09-19,"0:00:00","cw","3","king,wendy","","",NA,1,4,"b",1.5,"n","2","1",NA,NA,"","9961_1_1978-09-19_cw",1978,9
"annabessacook","9961","1",1978-09-25,"0:00:00","cw","3","dominie,dave","","",NA,1,8,"o",2.5,"n","2","1",NA,NA,"","9961_1_1978-09-25_cw",1978,9
"annabessacook","9961","1",1978-10-03,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,2,2,"o",1.5,"n","2","1",NA,NA,"","9961_1_1978-10-03_cw",1978,10
"annabessacook","9961","1",1978-10-24,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,3,7,"b",3.3,"n","2","1",NA,NA,"","9961_1_1978-10-24_cw",1978,10
"annabessacook","9961","1",1978-11-07,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,3,1,"o",4,"n","2","1",NA,NA,"","9961_1_1978-11-07_cw",1978,11
"annabessacook","9961","1",1978-11-27,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,1,1,"o",3.6,"n","2","1",NA,NA,"","9961_1_1978-11-27_cw",1978,11
"annabessacook","9961","1",1978-12-22,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,NA,NA,NA,4.6,"n","2","1",NA,NA,"","9961_1_1978-12-22_cw",1978,12
"annabessacook","9961","1",1979-02-28,"0:00:00","cw","3","dominie,dave","king,wendy","",NA,NA,NA,"b",4.6,"n","2","1",NA,NA,"","9961_1_1979-02-28_cw",1979,2
"annabessacook","9961","1",1979-03-16,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,NA,NA,NA,3.8,"n","2","1",NA,NA,"","9961_1_1979-03-16_cw",1979,3
"annabessacook","9961","1",1979-04-18,"0:00:00","cw","3","king,wendy","whittier,scott","",NA,3,1,"c",4.4,"n","2","1",NA,NA,"","9961_1_1979-04-18_cw",1979,4
"annabessacook","9961","1",1979-04-20,"0:00:00","cw","3","king,wendy","gordon,tom","",NA,5,1,"o",4.2,"n","2","1",NA,NA,"","9961_1_1979-04-20_cw",1979,4
"annabessacook","9961","1",1979-05-02,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,12,8,"b",3.3,"n","2","1",NA,NA,"","9961_1_1979-05-02_cw",1979,5
"annabessacook","9961","1",1979-05-15,"0:00:00","ei","3","gordon,tom","dominie,dave","",NA,0,NA,"o",3.3,"n","2","1",NA,NA,"","9961_1_1979-05-15_ei",1979,5
"annabessacook","9961","1",1979-05-31,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,4,7,"o",3.8,"n","2","1",NA,NA,"","9961_1_1979-05-31_cw",1979,5
"annabessacook","9961","1",1979-06-12,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,8,7,"c",3.8,"n","2","1",NA,NA,"","9961_1_1979-06-12_cw",1979,6
"annabessacook","9961","1",1979-06-20,"0:00:00","cw","3","king,wendy","selser,jan","",NA,7,1,"b",4.4,"n","2","1",NA,NA,"","9961_1_1979-06-20_cw",1979,6
"annabessacook","9961","1",1979-06-27,"0:00:00","cw","3","king,wendy","selser,jan","",NA,12,5,"c",3.6,"n","2","1",NA,NA,"","9961_1_1979-06-27_cw",1979,6
"annabessacook","9961","1",1979-07-03,"0:00:00","cw","3","king,wendy","selser,jan","",NA,6,6,"c",4.1,"n","2","1",NA,NA,"","9961_1_1979-07-03_cw",1979,7
"annabessacook","9961","1",1979-07-09,"0:00:00","cw","3","king,wendy","gordon,tom","",NA,1,6,"b",4.6,"n","2","1",NA,NA,"","9961_1_1979-07-09_cw",1979,7
"annabessacook","9961","1",1979-07-12,"0:00:00","cw","3","king,wendy","selser,jan","",NA,0,NA,"o",4.4,"n","2",NA,NA,NA,"","9961_1_1979-07-12_cw",1979,7
"annabessacook","9961","1",1979-07-12,"0:00:00","cw","3","king,wendy","selser,jan","",NA,0,NA,"o",4.4,"n","2",NA,NA,NA,"","9961_1_1979-07-12_cw",1979,7
"annabessacook","9961","1",1979-07-17,"0:00:00","cw","3","king,wendy","selser,jan","",NA,3,1,"c",4.7,"n","2","1",NA,NA,"","9961_1_1979-07-17_cw",1979,7
"annabessacook","9961","1",1979-07-20,"0:00:00","cw","3","selser,janice","house,john","",NA,5,6,"b",3.5,"n","2","1",NA,NA,"","9961_1_1979-07-20_cw",1979,7
"annabessacook","9961","1",1979-07-23,"0:00:00","cw","3","gordon,tom","selser,jan","",NA,NA,NA,NA,2.8,"n","2","1",NA,NA,"","9961_1_1979-07-23_cw",1979,7
"annabessacook","9961","1",1979-07-24,"0:00:00","cw","3","selser,janice","house,john","",NA,NA,NA,NA,2.7,"n","2","1",NA,NA,"","9961_1_1979-07-24_cw",1979,7
"annabessacook","9961","1",1979-07-25,"0:00:00","cw","3","king,wendy","selser,jan","",NA,0,NA,"o",2.7,"n","2","1",NA,NA,"","9961_1_1979-07-25_cw",1979,7
"annabessacook","9961","1",1979-07-26,"0:00:00","cw","3","king,wendy","selser,jan","",NA,8,4,"o",3.1,"n","2","1",NA,NA,"","9961_1_1979-07-26_cw",1979,7
"annabessacook","9961","1",1979-07-27,"0:00:00","cw","3","king,wendy","house,john","",NA,1,4,"b",2.6,"n","2","1",NA,NA,"","9961_1_1979-07-27_cw",1979,7
"annabessacook","9961","1",1979-07-30,"0:00:00","cw","3","gordon,tom","king,wendy","",NA,0,NA,"b",2.6,"n","2","1",NA,NA,"","9961_1_1979-07-30_cw",1979,7
"annabessacook","9961","1",1979-07-31,"0:00:00","cw","3","king,wendy","selser,jan","",NA,3,5,"c",2.6,"n","2","1",NA,NA,"","9961_1_1979-07-31_cw",1979,7
"annabessacook","9961","1",1979-08-02,"0:00:00","cw","3","king,wendy","selser,jan","",NA,1,3,"o",2.5,"n","2","1",NA,NA,"","9961_1_1979-08-02_cw",1979,8
"annabessacook","9961","1",1979-08-03,"0:00:00","cw","3","king,wendy","house,john","",NA,0,NA,"b",2.5,"n","2","1",NA,NA,"","9961_1_1979-08-03_cw",1979,8
"annabessacook","9961","1",1979-08-06,"0:00:00","cw","3","selser,janice","house,john","",NA,8,8,"b",2.2,"n","2","1",NA,NA,"","9961_1_1979-08-06_cw",1979,8
"annabessacook","9961","1",1979-08-09,"0:00:00","cw","3","king,wendy","house,john","",NA,8,7,"b",2,"n","2","1",NA,NA,"","9961_1_1979-08-09_cw",1979,8
"annabessacook","9961","1",1979-08-13,"0:00:00","cw","3","king,wendy","house,john","",NA,6,8,"c",2.1,"n","2","1",NA,NA,"","9961_1_1979-08-13_cw",1979,8
"annabessacook","9961","1",1979-08-14,"0:00:00","cw","3","king,wendy","house,john","",NA,3,6,"b",2.4,"n","2","1",NA,NA,"","9961_1_1979-08-14_cw",1979,8
"annabessacook","9961","1",1979-08-16,"0:00:00","cw","3","king,wendy","house,john","",NA,1,8,"c",2.6,"n","2","1",NA,NA,"","9961_1_1979-08-16_cw",1979,8
"annabessacook","9961","1",1979-08-20,"0:00:00","cw","3","selser,janice","house,john","",NA,1,1,"o",2.8,"n","2","1",NA,NA,"","9961_1_1979-08-20_cw",1979,8
"annabessacook","9961","1",1979-08-21,"0:00:00","cw","3","king,wendy","house,john","",NA,0,NA,"b",2.8,"n","2","1",NA,NA,"","9961_1_1979-08-21_cw",1979,8
"annabessacook","9961","1",1979-08-22,"0:00:00","cw","3","king,wendy","house,john","",NA,0,NA,"b",2.9,"n","2","1",NA,NA,"","9961_1_1979-08-22_cw",1979,8
"annabessacook","9961","1",1979-08-24,"0:00:00","cw","3","selser,janice","house,john","",NA,1,6,"c",3,"n","2","1",NA,NA,"","9961_1_1979-08-24_cw",1979,8
"annabessacook","9961","1",1979-08-28,"0:00:00","cw","3","king,wendy","house,john","",NA,0,NA,"b",3,"n","2","1",NA,NA,"","9961_1_1979-08-28_cw",1979,8
"annabessacook","9961","1",1979-08-30,"0:00:00","cw","3","king,wendy","house,john","",NA,3,5,"c",3.1,"n","2","1",NA,NA,"","9961_1_1979-08-30_cw",1979,8
"annabessacook","9961","1",1979-09-05,"0:00:00","cw","3","king,wendy","selser,jan","",NA,0,NA,"b",5,"n","2","1",NA,NA,"","9961_1_1979-09-05_cw",1979,9
"annabessacook","9961","1",1979-09-10,"0:00:00","cw","3","king,wendy","selser,jan","",NA,0,NA,"b",4.5,"n","2","1",NA,NA,"","9961_1_1979-09-10_cw",1979,9
"annabessacook","9961","1",1979-09-12,"0:00:00","cw","3","king,wendy","selser,jan","",NA,4,7,"b",3.7,"n","2","1",NA,NA,"","9961_1_1979-09-12_cw",1979,9
"annabessacook","9961","1",1979-09-14,"0:00:00","cw","3","king,wendy","selser,jan","",NA,15,4,"o",3.2,"n","2","1",NA,NA,"","9961_1_1979-09-14_cw",1979,9
"annabessacook","9961","1",1979-09-17,"0:00:00","cw","3","king,wendy","selser,jan","",NA,4,5,"b",3.3,"n","2","1",NA,NA,"","9961_1_1979-09-17_cw",1979,9
"annabessacook","9961","1",1979-09-20,"0:00:00","cw","3","king,wendy","selser,jan","",NA,1,6,"b",3.2,"n","2","1",NA,NA,"","9961_1_1979-09-20_cw",1979,9
"annabessacook","9961","1",1979-09-26,"0:00:00","cw","3","king,wendy","selser,jan","",NA,0,NA,"b",3.4,"n","2","1",NA,NA,"","9961_1_1979-09-26_cw",1979,9
"annabessacook","9961","1",1979-10-03,"0:00:00","cw","3","king,wendy","selser,jan","",NA,3,4,"o",3.7,"n","2","1",NA,NA,"","9961_1_1979-10-03_cw",1979,10
"annabessacook","9961","1",1979-10-16,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,4,7,"b",4.3,"n","2","1",NA,NA,"","9961_1_1979-10-16_cw",1979,10
"annabessacook","9961","1",1979-10-30,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,4,7,"c",3.8,"n","2","1",NA,NA,"","9961_1_1979-10-30_cw",1979,10
"annabessacook","9961","1",1979-11-15,"0:00:00","cw","3","king,wendy","selser,jan","",NA,3,7,"b",3.8,"n","2","1",NA,NA,"","9961_1_1979-11-15_cw",1979,11
"annabessacook","9961","1",1980-02-20,"0:00:00","cw","3","king,wendy","selser,jan","",NA,0,NA,"b",3.9,"n","2","1",NA,NA,"","9961_1_1980-02-20_cw",1980,2
"annabessacook","9961","1",1980-03-26,"0:00:00","cw","3","king,wendy","dennis,jeff","",NA,10,8,"o",4.2,"n","2","1",NA,NA,"","9961_1_1980-03-26_cw",1980,3
"annabessacook","9961","1",1980-04-14,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,15,5,"o",2.4,"n","2","1",NA,NA,"","9961_1_1980-04-14_cw",1980,4
"annabessacook","9961","1",1980-04-22,"0:00:00","cw","3","king,wendy","selser,jan","",NA,8,2,"b",3,"n","2","1",NA,NA,"","9961_1_1980-04-22_cw",1980,4
"annabessacook","9961","1",1980-05-05,"0:00:00","cw","3","king,wendy","dennis,jeff","",NA,4,6,"c",3.3,"n","2","1",NA,NA,"","9961_1_1980-05-05_cw",1980,5
"annabessacook","9961","1",1980-05-15,"0:00:00","cw","3","king,wendy","gordon,tom","",NA,2,6,"c",3.3,"n","2","1",NA,NA,"","9961_1_1980-05-15_cw",1980,5
"annabessacook","9961","1",1980-06-06,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",4.5,"n","2","1",NA,NA,"","9961_1_1980-06-06_cw",1980,6
"annabessacook","9961","1",1980-06-19,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,9,5,"b",4.8,"n","2","1",NA,NA,"","9961_1_1980-06-19_cw",1980,6
"annabessacook","9961","1",1980-06-25,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",4.7,"n","2","1",NA,NA,"","9961_1_1980-06-25_cw",1980,6
"annabessacook","9961","1",1980-07-03,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,NA,NA,"b",4.5,"n","2","1",NA,NA,"","9961_1_1980-07-03_cw",1980,7
"annabessacook","9961","1",1980-07-10,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,7,5,"b",4.4,"n","2","1",NA,NA,"","9961_1_1980-07-10_cw",1980,7
"annabessacook","9961","1",1980-07-16,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",3.7,"n","2","1",NA,NA,"","9961_1_1980-07-16_cw",1980,7
"annabessacook","9961","1",1980-07-18,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",3,"n","2","1",NA,NA,"","9961_1_1980-07-18_cw",1980,7
"annabessacook","9961","1",1980-07-23,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,NA,NA,"b",2,"n","2","1",NA,NA,"","9961_1_1980-07-23_cw",1980,7
"annabessacook","9961","1",1980-07-25,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",1.8,"n","2","1",NA,NA,"","9961_1_1980-07-25_cw",1980,7
"annabessacook","9961","1",1980-07-29,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",2,"n","2","1",NA,NA,"","9961_1_1980-07-29_cw",1980,7
"annabessacook","9961","1",1980-07-31,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,8,6,"b",2,"n","2","1",NA,NA,"","9961_1_1980-07-31_cw",1980,7
"annabessacook","9961","1",1980-08-05,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",2,"n","2","1",NA,NA,"","9961_1_1980-08-05_cw",1980,8
"annabessacook","9961","1",1980-08-07,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,4,7,"b",2.1,"n","2","1",NA,NA,"","9961_1_1980-08-07_cw",1980,8
"annabessacook","9961","1",1980-08-13,"0:00:00","cw","3","king,wendy","dominie,dave","",NA,NA,NA,NA,2.1,"n","2","1",NA,NA,"","9961_1_1980-08-13_cw",1980,8
"annabessacook","9961","1",1980-08-18,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",1.8,"n","2","1",NA,NA,"","9961_1_1980-08-18_cw",1980,8
"annabessacook","9961","1",1980-08-22,"0:00:00","cw","3","dennis,jeff","king,wendy","",NA,1,8,"b",2.5,"n","2","1",NA,NA,"","9961_1_1980-08-22_cw",1980,8
"annabessacook","9961","1",1980-08-26,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,0,NA,"b",2.9,"n","2","1",NA,NA,"","9961_1_1980-08-26_cw",1980,8
"annabessacook","9961","1",1980-08-28,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,2,2,"b",3.9,"n","2","1",NA,NA,"","9961_1_1980-08-28_cw",1980,8
"annabessacook","9961","1",1980-09-03,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,4,8,"b",3.1,"n","2","1",NA,NA,"","9961_1_1980-09-03_cw",1980,9
"annabessacook","9961","1",1980-09-15,"0:00:00","cw","3","king,wendy","sage,kathy","",NA,8,1,"o",2.6,"n","2","1",NA,NA,"","9961_1_1980-09-15_cw",1980,9
