"midas","lake","station","date","agency","depth","tp.ppm","type","r","year","month","sampleid"
"9961","annabessacook",1,2021-08-25,"cw",2.5,0.019,"g",1,2021,8,"9961_1_2021-08-25_cw"
"9961","annabessacook",2,2021-08-25,"cw",4.5,0.021,"c",1,2021,8,"9961_2_2021-08-25_cw"
"9961","annabessacook",2,2021-08-25,"cw",4.5,0.021,"c",1,2021,8,"9961_2_2021-08-25_cw"
"9961","annabessacook",1,2021-08-25,"cw",0.5,0.015,"g",1,2021,8,"9961_1_2021-08-25_cw"
"9961","annabessacook",1,2021-08-25,"cw",6.5,0.021,"g",1,2021,8,"9961_1_2021-08-25_cw"
"9961","annabessacook",1,2021-09-14,"cw",4.5,0.019,"g",1,2021,9,"9961_1_2021-09-14_cw"
"9961","annabessacook",1,2021-09-14,"cw",2.5,0.017,"g",1,2021,9,"9961_1_2021-09-14_cw"
"9961","annabessacook",1,2021-09-14,"cw",6.5,0.018,"g",1,2021,9,"9961_1_2021-09-14_cw"
"9961","annabessacook",1,2021-09-14,"cw",8.5,0.016,"g",1,2021,9,"9961_1_2021-09-14_cw"
"9961","annabessacook",1,2021-09-14,"cw",10.5,0.28,"g",1,2021,9,"9961_1_2021-09-14_cw"
"9961","annabessacook",1,2021-09-14,"cw",12.4,0.42,"g",1,2021,9,"9961_1_2021-09-14_cw"
"9961","annabessacook",1,2021-09-14,"cw",2.5,0.024,"g",2,2021,9,"9961_1_2021-09-14_cw"
"9961","annabessacook",2,2021-09-14,"cw",5,0.024,"c",1,2021,9,"9961_2_2021-09-14_cw"
"9961","annabessacook",1,2021-09-14,"cw",0.5,0.017,"g",1,2021,9,"9961_1_2021-09-14_cw"
"9961","annabessacook",1,2021-10-06,"cw",5,0.017,"g",1,2021,10,"9961_1_2021-10-06_cw"
"9961","annabessacook",2,2021-10-06,"cw",6,0.026,"c",1,2021,10,"9961_2_2021-10-06_cw"
"9961","annabessacook",1,2021-10-06,"cw",12.2,0.34,"g",1,2021,10,"9961_1_2021-10-06_cw"
"9961","annabessacook",1,2021-10-06,"cw",8.5,0.018,"g",1,2021,10,"9961_1_2021-10-06_cw"
"9961","annabessacook",1,2021-10-06,"cw",3,0.022,"g",1,2021,10,"9961_1_2021-10-06_cw"
"9961","annabessacook",1,2021-10-06,"cw",1,0.023,"g",1,2021,10,"9961_1_2021-10-06_cw"
"9961","annabessacook",1,2021-10-06,"cw",9,0.019,"c",1,2021,10,"9961_1_2021-10-06_cw"
"9961","annabessacook",1,2021-10-06,"cw",10.5,0.045,"g",1,2021,10,"9961_1_2021-10-06_cw"
"3828","berry",1,2021-05-26,"cw",7,0.01,"c",1,2021,5,"3828_1_2021-05-26_cw"
"3828","berry",1,2021-07-01,"cw",4,0.008,"c",1,2021,7,"3828_1_2021-07-01_cw"
"3828","berry",1,2021-07-29,"cw",4,0.008,"c",1,2021,7,"3828_1_2021-07-29_cw"
"3828","berry",1,2021-07-29,"cw",4,0.008,"c",2,2021,7,"3828_1_2021-07-29_cw"
"3828","berry",1,2021-08-31,"cw",4,0.007,"c",1,2021,8,"3828_1_2021-08-31_cw"
"3828","berry",1,2021-08-31,"cw",4,0.007,"c",1,2021,8,"3828_1_2021-08-31_cw"
"3828","berry",1,2021-08-31,"cw",7.9,0.051,"g",1,2021,8,"3828_1_2021-08-31_cw"
"3828","berry",1,2021-08-31,"cw",4,0.009,"c",2,2021,8,"3828_1_2021-08-31_cw"
"3828","berry",1,2021-08-31,"cw",7.9,0.051,"g",1,2021,8,"3828_1_2021-08-31_cw"
"3828","berry",1,2021-08-31,"cw",4,0.009,"c",2,2021,8,"3828_1_2021-08-31_cw"
"3828","berry",1,2021-10-05,"cw",6,0.013,"c",1,2021,10,"3828_1_2021-10-05_cw"
"8065","little cobbossee",1,2021-07-01,"cw",4,0.021,"c",1,2021,7,"8065_1_2021-07-01_cw"
"8065","little cobbossee",1,2021-07-01,"cw",7,0.072,"g",1,2021,7,"8065_1_2021-07-01_cw"
"8065","little cobbossee",1,2021-08-13,"cw",8.3,0.18,"g",1,2021,8,"8065_1_2021-08-13_cw"
"8065","little cobbossee",1,2021-08-13,"cw",6,0.063,"g",1,2021,8,"8065_1_2021-08-13_cw"
"8065","little cobbossee",1,2021-08-13,"cw",4,0.021,"c",1,2021,8,"8065_1_2021-08-13_cw"
"8065","little cobbossee",1,2021-09-22,"cw",4,0.022,"c",1,2021,9,"8065_1_2021-09-22_cw"
"8065","little cobbossee",1,2021-09-22,"cw",6,0.045,"g",1,2021,9,"8065_1_2021-09-22_cw"
"8065","little cobbossee",1,2021-09-22,"cw",8.9,0.24,"g",1,2021,9,"8065_1_2021-09-22_cw"
"8065","little cobbossee",1,2021-10-15,"cw",4,0.018,"c",1,2021,10,"8065_1_2021-10-15_cw"
"8065","little cobbossee",1,2021-10-15,"cw",6,0.035,"g",1,2021,10,"8065_1_2021-10-15_cw"
"8065","little cobbossee",1,2021-10-15,"cw",8.7,0.23,"g",1,2021,10,"8065_1_2021-10-15_cw"
"8065","little cobbossee",1,2021-10-15,"cw",4,0.018,"c",1,2021,10,"8065_1_2021-10-15_cw"
"8065","little cobbossee",1,2021-10-15,"cw",6,0.035,"g",1,2021,10,"8065_1_2021-10-15_cw"
"8065","little cobbossee",1,2021-10-15,"cw",8.7,0.23,"g",1,2021,10,"8065_1_2021-10-15_cw"
"5236","cobbossee",1,2021-05-24,"cw",9,0.013,"c",1,2021,5,"5236_1_2021-05-24_cw"
"5236","cobbossee",2,2021-05-24,"cw",18,0.034,"g",1,2021,5,"5236_2_2021-05-24_cw"
"5236","cobbossee",1,2021-05-24,"cw",15,0.014,"g",1,2021,5,"5236_1_2021-05-24_cw"
"5236","cobbossee",2,2021-05-24,"cw",12,0.012,"g",1,2021,5,"5236_2_2021-05-24_cw"
"5236","cobbossee",2,2021-05-24,"cw",9,0.016,"c",1,2021,5,"5236_2_2021-05-24_cw"
"5236","cobbossee",1,2021-05-24,"cw",28,0.022,"g",1,2021,5,"5236_1_2021-05-24_cw"
"5236","cobbossee",1,2021-06-28,"cw",15,0.011,"g",1,2021,6,"5236_1_2021-06-28_cw"
"5236","cobbossee",1,2021-06-28,"cw",7,0.013,"c",1,2021,6,"5236_1_2021-06-28_cw"
"5236","cobbossee",1,2021-06-28,"cw",28,0.069,"g",1,2021,6,"5236_1_2021-06-28_cw"
"5236","cobbossee",2,2021-06-28,"cw",8,0.01,"c",2,2021,6,"5236_2_2021-06-28_cw"
"5236","cobbossee",2,2021-06-28,"cw",8,0.009,"c",1,2021,6,"5236_2_2021-06-28_cw"
"5236","cobbossee",2,2021-06-28,"cw",12,0.01,"g",1,2021,6,"5236_2_2021-06-28_cw"
"5236","cobbossee",2,2021-06-28,"cw",17.9,0.1,"g",1,2021,6,"5236_2_2021-06-28_cw"
"5236","cobbossee",1,2021-07-26,"cw",27.7,0.055,"g",1,2021,7,"5236_1_2021-07-26_cw"
"5236","cobbossee",1,2021-07-26,"cw",18,0.023,"g",1,2021,7,"5236_1_2021-07-26_cw"
"5236","cobbossee",1,2021-07-26,"cw",8,0.016,"c",1,2021,7,"5236_1_2021-07-26_cw"
"5236","cobbossee",1,2021-07-26,"cw",8,0.011,"c",2,2021,7,"5236_1_2021-07-26_cw"
"5236","cobbossee",2,2021-07-26,"cw",18,0.16,"g",1,2021,7,"5236_2_2021-07-26_cw"
"5236","cobbossee",2,2021-07-26,"cw",15,0.021,"g",1,2021,7,"5236_2_2021-07-26_cw"
"5236","cobbossee",2,2021-07-26,"cw",11,0.009,"g",1,2021,7,"5236_2_2021-07-26_cw"
"5236","cobbossee",2,2021-07-26,"cw",8,0.016,"c",1,2021,7,"5236_2_2021-07-26_cw"
"5236","cobbossee",1,2021-07-26,"cw",12,0.01,"g",1,2021,7,"5236_1_2021-07-26_cw"
"5236","cobbossee",2,2021-08-17,"cw",15,0.036,"g",1,2021,8,"5236_2_2021-08-17_cw"
"5236","cobbossee",1,2021-08-17,"cw",7,0.012,"c",1,2021,8,"5236_1_2021-08-17_cw"
"5236","cobbossee",1,2021-08-17,"cw",2,0.009,"g",1,2021,8,"5236_1_2021-08-17_cw"
"5236","cobbossee",1,2021-08-17,"cw",10,0.011,"g",1,2021,8,"5236_1_2021-08-17_cw"
"5236","cobbossee",1,2021-08-17,"cw",20,0.025,"g",1,2021,8,"5236_1_2021-08-17_cw"
"5236","cobbossee",1,2021-08-17,"cw",28,0.043,"g",1,2021,8,"5236_1_2021-08-17_cw"
"5236","cobbossee",2,2021-08-17,"cw",18,0.14,"g",1,2021,8,"5236_2_2021-08-17_cw"
"5236","cobbossee",1,2021-08-17,"cw",8,0.011,"g",1,2021,8,"5236_1_2021-08-17_cw"
"5236","cobbossee",2,2021-08-17,"cw",12,0.009,"g",1,2021,8,"5236_2_2021-08-17_cw"
"5236","cobbossee",2,2021-08-17,"cw",9,0.011,"g",1,2021,8,"5236_2_2021-08-17_cw"
"5236","cobbossee",2,2021-08-17,"cw",2,0.008,"g",1,2021,8,"5236_2_2021-08-17_cw"
"5236","cobbossee",2,2021-08-17,"cw",7,0.009,"c",2,2021,8,"5236_2_2021-08-17_cw"
"5236","cobbossee",2,2021-08-17,"cw",7,0.01,"c",1,2021,8,"5236_2_2021-08-17_cw"
"5236","cobbossee",1,2021-08-17,"cw",15,0.01,"g",1,2021,8,"5236_1_2021-08-17_cw"
"5236","cobbossee",2,2021-09-21,"cw",7,0.011,"g",1,2021,9,"5236_2_2021-09-21_cw"
"5236","cobbossee",1,2021-09-21,"cw",28,0.06,"g",1,2021,9,"5236_1_2021-09-21_cw"
"5236","cobbossee",1,2021-09-21,"cw",20,0.029,"g",1,2021,9,"5236_1_2021-09-21_cw"
"5236","cobbossee",1,2021-09-21,"cw",15,0.045,"g",1,2021,9,"5236_1_2021-09-21_cw"
"5236","cobbossee",2,2021-09-21,"cw",17.9,0.29,"g",1,2021,9,"5236_2_2021-09-21_cw"
"5236","cobbossee",2,2021-09-21,"cw",10,0.01,"g",1,2021,9,"5236_2_2021-09-21_cw"
"5236","cobbossee",2,2021-09-21,"cw",4,0.012,"g",1,2021,9,"5236_2_2021-09-21_cw"
"5236","cobbossee",2,2021-09-21,"cw",1,0.014,"g",1,2021,9,"5236_2_2021-09-21_cw"
"5236","cobbossee",1,2021-09-21,"cw",10,0.023,"g",1,2021,9,"5236_1_2021-09-21_cw"
"5236","cobbossee",1,2021-09-21,"cw",7,0.012,"g",1,2021,9,"5236_1_2021-09-21_cw"
"5236","cobbossee",1,2021-09-21,"cw",4,0.012,"g",2,2021,9,"5236_1_2021-09-21_cw"
"5236","cobbossee",1,2021-09-21,"cw",4,0.013,"g",1,2021,9,"5236_1_2021-09-21_cw"
"5236","cobbossee",1,2021-09-21,"cw",1,0.015,"g",1,2021,9,"5236_1_2021-09-21_cw"
"5236","cobbossee",2,2021-09-21,"cw",14,0.074,"g",1,2021,9,"5236_2_2021-09-21_cw"
"5236","cobbossee",2,2021-10-13,"cw",17.5,0.32,"g",1,2021,10,"5236_2_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",9,0.012,"c",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",12,0.013,"g",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",16,0.097,"g",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",9,0.012,"c",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",28,0.13,"g",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",2,2021-10-13,"cw",14,0.079,"g",1,2021,10,"5236_2_2021-10-13_cw"
"5236","cobbossee",2,2021-10-13,"cw",11,0.008,"g",1,2021,10,"5236_2_2021-10-13_cw"
"5236","cobbossee",2,2021-10-13,"cw",9,0.009,"c",1,2021,10,"5236_2_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",28,0.13,"g",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",22,0.059,"g",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",16,0.097,"g",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",12,0.013,"g",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",9,0.01,"c",2,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",22,0.059,"g",1,2021,10,"5236_1_2021-10-13_cw"
"5236","cobbossee",1,2021-10-13,"cw",9,0.01,"c",2,2021,10,"5236_1_2021-10-13_cw"
"3814","cochnewagon",1,2021-05-20,"cw",7,0.01,"c",1,2021,5,"3814_1_2021-05-20_cw"
"3814","cochnewagon",1,2021-05-20,"cw",7.8,0.014,"g",1,2021,5,"3814_1_2021-05-20_cw"
"3814","cochnewagon",1,2021-06-02,"cw",7,0.01,"c",1,2021,6,"3814_1_2021-06-02_cw"
"3814","cochnewagon",1,2021-06-02,"cw",7.7,0.011,"g",1,2021,6,"3814_1_2021-06-02_cw"
"3814","cochnewagon",1,2021-06-16,"cw",7,0.013,"c",1,2021,6,"3814_1_2021-06-16_cw"
"3814","cochnewagon",1,2021-06-16,"cw",7.7,0.014,"g",1,2021,6,"3814_1_2021-06-16_cw"
"3814","cochnewagon",1,2021-06-30,"cw",6.5,0.011,"c",1,2021,6,"3814_1_2021-06-30_cw"
"3814","cochnewagon",1,2021-06-30,"cw",7.6,0.016,"g",1,2021,6,"3814_1_2021-06-30_cw"
"3814","cochnewagon",1,2021-07-22,"cw",6,0.009,"g",1,2021,7,"3814_1_2021-07-22_cw"
"3814","cochnewagon",1,2021-07-22,"cw",7,0.008,"g",1,2021,7,"3814_1_2021-07-22_cw"
"3814","cochnewagon",1,2021-07-22,"cw",7.9,0.013,"g",1,2021,7,"3814_1_2021-07-22_cw"
"3814","cochnewagon",1,2021-07-22,"cw",6,0.012,"c",1,2021,7,"3814_1_2021-07-22_cw"
"3814","cochnewagon",1,2021-08-04,"cw",5,0.012,"g",1,2021,8,"3814_1_2021-08-04_cw"
"3814","cochnewagon",1,2021-08-04,"cw",6,0.01,"g",1,2021,8,"3814_1_2021-08-04_cw"
"3814","cochnewagon",1,2021-08-04,"cw",7,0.007,"g",1,2021,8,"3814_1_2021-08-04_cw"
"3814","cochnewagon",1,2021-08-04,"cw",1,0.016,"g",1,2021,8,"3814_1_2021-08-04_cw"
"3814","cochnewagon",1,2021-08-04,"cw",6,0.015,"c",1,2021,8,"3814_1_2021-08-04_cw"
"3814","cochnewagon",1,2021-08-04,"cw",3,0.011,"g",1,2021,8,"3814_1_2021-08-04_cw"
"3814","cochnewagon",1,2021-08-04,"cw",7.9,0.011,"g",1,2021,8,"3814_1_2021-08-04_cw"
"3814","cochnewagon",1,2021-08-18,"cw",6,0.01,"g",2,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",7.9,0.015,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",6,0.01,"g",2,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",5,0.016,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",3,0.013,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",1,0.008,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",7,0.013,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",6,0.01,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",5,0.016,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",3,0.013,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",1,0.008,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",7,0.013,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",7.9,0.015,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-08-18,"cw",6,0.01,"g",1,2021,8,"3814_1_2021-08-18_cw"
"3814","cochnewagon",1,2021-09-01,"cw",6,0.009,"g",1,2021,9,"3814_1_2021-09-01_cw"
"3814","cochnewagon",1,2021-09-01,"cw",7,0.016,"g",1,2021,9,"3814_1_2021-09-01_cw"
"3814","cochnewagon",1,2021-09-01,"cw",8,0.017,"g",1,2021,9,"3814_1_2021-09-01_cw"
"3814","cochnewagon",1,2021-09-01,"cw",3,0.009,"g",2,2021,9,"3814_1_2021-09-01_cw"
"3814","cochnewagon",1,2021-09-01,"cw",3,0.008,"g",1,2021,9,"3814_1_2021-09-01_cw"
"3814","cochnewagon",1,2021-09-01,"cw",1,0.014,"g",1,2021,9,"3814_1_2021-09-01_cw"
"3814","cochnewagon",1,2021-09-01,"cw",5,0.009,"g",1,2021,9,"3814_1_2021-09-01_cw"
"3814","cochnewagon",1,2021-09-15,"cw",1,0.008,"g",1,2021,9,"3814_1_2021-09-15_cw"
"3814","cochnewagon",1,2021-09-15,"cw",3,0.011,"g",1,2021,9,"3814_1_2021-09-15_cw"
"3814","cochnewagon",1,2021-09-15,"cw",5,0.01,"g",1,2021,9,"3814_1_2021-09-15_cw"
"3814","cochnewagon",1,2021-09-15,"cw",6,0.009,"g",1,2021,9,"3814_1_2021-09-15_cw"
"3814","cochnewagon",1,2021-09-15,"cw",7.7,0.007,"g",1,2021,9,"3814_1_2021-09-15_cw"
"3814","cochnewagon",1,2021-09-15,"cw",7,0.008,"g",1,2021,9,"3814_1_2021-09-15_cw"
"3814","cochnewagon",1,2021-10-04,"cw",7,0.009,"g",1,2021,10,"3814_1_2021-10-04_cw"
"3814","cochnewagon",1,2021-10-04,"cw",5,0.011,"g",1,2021,10,"3814_1_2021-10-04_cw"
"3814","cochnewagon",1,2021-10-04,"cw",7.6,0.008,"g",1,2021,10,"3814_1_2021-10-04_cw"
"3814","cochnewagon",1,2021-10-04,"cw",6,0.009,"g",1,2021,10,"3814_1_2021-10-04_cw"
"3814","cochnewagon",1,2021-10-04,"cw",1,0.009,"g",1,2021,10,"3814_1_2021-10-04_cw"
"3814","cochnewagon",1,2021-10-04,"cw",3,0.013,"g",1,2021,10,"3814_1_2021-10-04_cw"
"3814","cochnewagon",1,2021-10-04,"cw",3,0.011,"g",2,2021,10,"3814_1_2021-10-04_cw"
"3814","cochnewagon",1,2021-10-21,"cw",1,0.01,"g",1,2021,10,"3814_1_2021-10-21_cw"
"3814","cochnewagon",1,2021-10-21,"cw",3,0.012,"g",1,2021,10,"3814_1_2021-10-21_cw"
"3814","cochnewagon",1,2021-10-21,"cw",6.5,0.01,"g",1,2021,10,"3814_1_2021-10-21_cw"
"3814","cochnewagon",1,2021-10-21,"cw",7.6,0.01,"g",1,2021,10,"3814_1_2021-10-21_cw"
"3814","cochnewagon",1,2021-10-21,"cw",7,0.014,"c",1,2021,10,"3814_1_2021-10-21_cw"
"3814","cochnewagon",1,2021-10-21,"cw",5,0.013,"g",1,2021,10,"3814_1_2021-10-21_cw"
"5265","desert",1,2021-08-31,"cw",9.2,0.1,"g",1,2021,8,"5265_1_2021-08-31_cw"
"5265","desert",1,2021-08-31,"cw",4,0.007,"c",2,2021,8,"5265_1_2021-08-31_cw"
"5265","desert",1,2021-08-31,"cw",4,0.007,"c",1,2021,8,"5265_1_2021-08-31_cw"
"3830","dexter",1,2021-05-25,"cw",5,0.009,"c",1,2021,5,"3830_1_2021-05-25_cw"
"3830","dexter",1,2021-06-21,"cw",4,0.008,"c",1,2021,6,"3830_1_2021-06-21_cw"
"3830","dexter",1,2021-07-22,"cw",4,0.006,"c",1,2021,7,"3830_1_2021-07-22_cw"
"3830","dexter",1,2021-08-04,"cw",4,0.006,"c",1,2021,8,"3830_1_2021-08-04_cw"
"3830","dexter",1,2021-08-18,"cw",4,0.006,"c",1,2021,8,"3830_1_2021-08-18_cw"
"3830","dexter",1,2021-08-18,"cw",6.6,0.016,"g",1,2021,8,"3830_1_2021-08-18_cw"
"3830","dexter",1,2021-09-17,"cw",5,0.009,"c",1,2021,9,"3830_1_2021-09-17_cw"
"3830","dexter",1,2021-09-17,"cw",5,0.011,"c",2,2021,9,"3830_1_2021-09-17_cw"
"3830","dexter",1,2021-10-18,"cw",6,0.008,"c",1,2021,10,"3830_1_2021-10-18_cw"
"5252","horseshoe",1,2021-08-26,"cw",3,0.02,"c",2,2021,8,"5252_1_2021-08-26_cw"
"5252","horseshoe",1,2021-08-26,"cw",3,0.019,"c",1,2021,8,"5252_1_2021-08-26_cw"
"5252","horseshoe",1,2021-08-26,"cw",4.7,0.028,"g",1,2021,8,"5252_1_2021-08-26_cw"
"5304","hutchinson",1,2021-10-22,"cw",7,0.007,"c",2,2021,10,"5304_1_2021-10-22_cw"
"5304","hutchinson",1,2021-10-22,"cw",7,0.011,"c",1,2021,10,"5304_1_2021-10-22_cw"
"5304","hutchinson",1,2021-10-22,"cw",8,0.007,"g",1,2021,10,"5304_1_2021-10-22_cw"
"5246","loon",1,2021-08-16,"cw",2,0.014,"c",1,2021,8,"5246_1_2021-08-16_cw"
"5246","loon",1,2021-08-16,"cw",1,0.008,"g",1,2021,8,"5246_1_2021-08-16_cw"
"5246","loon",1,2021-08-16,"cw",3,0.008,"g",1,2021,8,"5246_1_2021-08-16_cw"
"5246","loon",1,2021-08-16,"cw",5.9,0.031,"g",1,2021,8,"5246_1_2021-08-16_cw"
"98","narrows upper",1,2021-07-01,"cw",6,0.007,"c",1,2021,7,"98_1_2021-07-01_cw"
"98","narrows upper",1,2021-08-13,"cw",9,0.008,"g",1,2021,8,"98_1_2021-08-13_cw"
"98","narrows upper",1,2021-08-13,"cw",17,0.023,"g",1,2021,8,"98_1_2021-08-13_cw"
"98","narrows upper",1,2021-08-13,"cw",6,0.007,"c",1,2021,8,"98_1_2021-08-13_cw"
"98","narrows upper",1,2021-08-13,"cw",6,0.009,"c",2,2021,8,"98_1_2021-08-13_cw"
"98","narrows upper",1,2021-09-22,"cw",6,0.008,"c",1,2021,9,"98_1_2021-09-22_cw"
"98","narrows upper",1,2021-09-22,"cw",9,0.014,"g",1,2021,9,"98_1_2021-09-22_cw"
"98","narrows upper",1,2021-09-22,"cw",16.9,0.047,"g",1,2021,9,"98_1_2021-09-22_cw"
"98","narrows upper",1,2021-10-20,"cw",17,0.12,"g",1,2021,10,"98_1_2021-10-20_cw"
"98","narrows upper",1,2021-10-20,"cw",7,0.011,"c",1,2021,10,"98_1_2021-10-20_cw"
"98","narrows upper",1,2021-10-20,"cw",13,0.027,"g",1,2021,10,"98_1_2021-10-20_cw"
"98","narrows upper",1,2021-10-20,"cw",9,0.008,"g",1,2021,10,"98_1_2021-10-20_cw"
"5254","pleasant",1,2021-05-21,"cw",8,0.023,"g",1,2021,5,"5254_1_2021-05-21_cw"
"5254","pleasant",1,2021-05-21,"cw",6,0.017,"c",1,2021,5,"5254_1_2021-05-21_cw"
"5254","pleasant",3,2021-05-21,"cw",3,0.031,"c",1,2021,5,"5254_3_2021-05-21_cw"
"5254","pleasant",1,2021-06-17,"cw",6,0.018,"g",1,2021,6,"5254_1_2021-06-17_cw"
"5254","pleasant",1,2021-06-17,"cw",8.4,0.04,"g",1,2021,6,"5254_1_2021-06-17_cw"
"5254","pleasant",1,2021-06-17,"cw",5,0.019,"c",1,2021,6,"5254_1_2021-06-17_cw"
"5254","pleasant",3,2021-06-17,"cw",3,0.028,"c",1,2021,6,"5254_3_2021-06-17_cw"
"5254","pleasant",1,2021-07-06,"cw",5.5,0.017,"c",1,2021,7,"5254_1_2021-07-06_cw"
"5254","pleasant",1,2021-07-06,"cw",7,0.059,"g",1,2021,7,"5254_1_2021-07-06_cw"
"5254","pleasant",1,2021-07-06,"cw",8.3,0.097,"g",1,2021,7,"5254_1_2021-07-06_cw"
"5254","pleasant",3,2021-07-06,"cw",3,0.023,"c",1,2021,7,"5254_3_2021-07-06_cw"
"5254","pleasant",3,2021-08-06,"cw",3,0.026,"c",2,2021,8,"5254_3_2021-08-06_cw"
"5254","pleasant",1,2021-08-06,"cw",8.5,0.19,"g",1,2021,8,"5254_1_2021-08-06_cw"
"5254","pleasant",3,2021-08-06,"cw",0.5,0.024,"g",1,2021,8,"5254_3_2021-08-06_cw"
"5254","pleasant",1,2021-08-06,"cw",7,0.062,"g",1,2021,8,"5254_1_2021-08-06_cw"
"5254","pleasant",1,2021-08-06,"cw",5,0.018,"g",1,2021,8,"5254_1_2021-08-06_cw"
"5254","pleasant",1,2021-08-06,"cw",3,0.022,"g",1,2021,8,"5254_1_2021-08-06_cw"
"5254","pleasant",1,2021-08-06,"cw",1,0.018,"g",1,2021,8,"5254_1_2021-08-06_cw"
"5254","pleasant",3,2021-08-06,"cw",3,0.026,"c",1,2021,8,"5254_3_2021-08-06_cw"
"5254","pleasant",1,2021-09-16,"cw",1,0.021,"g",1,2021,9,"5254_1_2021-09-16_cw"
"5254","pleasant",1,2021-09-16,"cw",3,0.024,"g",1,2021,9,"5254_1_2021-09-16_cw"
"5254","pleasant",1,2021-09-16,"cw",5,0.021,"g",1,2021,9,"5254_1_2021-09-16_cw"
"5254","pleasant",1,2021-09-16,"cw",8.3,0.19,"g",1,2021,9,"5254_1_2021-09-16_cw"
"5254","pleasant",3,2021-09-16,"cw",3.5,0.022,"c",1,2021,9,"5254_3_2021-09-16_cw"
